Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
18,Unnamed Property,302 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,960.0,14062,3,2,2,135.0
19,Lodha Splendora ,Ghodbunder Road Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,743.0,18169,26,2,2,135.0
20,Lodha Palava Downtown ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,398.0,10552,11,1,2,42.0
21,Unnamed Property,Sector 16 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1250.0,18000,2,2,2,225.0
22,Unnamed Property,101 Bandra East Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,820.0,24390,11,2,2,200.0
23,Unnamed Property,Ghatkopar East Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1460.0,32876,5,3,3,480.0
24,Gauri Excellency ,2105 2106 Charkop Mumbai,Charkop Mumbai,Under Construction,Under Construction,Carpet Area,2230.0,19730,21,4,4,440.0
25,Unnamed Property,Laxmi Keshav Bhiwandi Mumbai Beyond Thane Mumbai Bhiwandi Mumbai Beyond Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,855.0,5300,3,1,1,45.0
26,Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1066.0,9193,13,2,2,98.0
27,Unnamed Property,Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,276.0,10869,2,1,1,30.0
28,Unnamed Property,Chakala Mumbai,Chakala Mumbai,10+ Year,Ready To Move,Built Up Area,300.0,18333,5,1,1,55.0
29,Unnamed Property,203 Seven Bunglow Mumbai,Seven Bunglow,10+ Year,Ready To Move,Carpet Area,625.0,40800,2,2,2,255.0
30,Unnamed Property,201 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,560.0,5000,2,1,2,28.0
31,Varsha Balaji Heritage ,Sector 11 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1700.0,15294,13,3,3,260.0
32,Bhanushanti Complex ,Malad East Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,720.0,13889,3,1,2,100.0
33,Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Built Up Area,1500.0,16666,15,3,3,250.0
34,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1690.0,8076,16,3,3,105.0
35,Unnamed Property,Near D Mart Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,525.0,10096,3,1,1,53.0
36,Unnamed Property,202 Plot No 157 Sector 12 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1085.0,11981,2,3,2,130.0
37,Samarth Garden ,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,802.0,22443,20,2,2,180.0
38,Unnamed Property,Sindhi Society Chembur Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,591.0,22335,2,1,2,130.0
39,Parinee Essence ,Kandivali West Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,557.0,25134,7,2,2,140.0
40,Lalani Grandeur ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1531.0,24820,15,3,3,380.0
41,Unnamed Property,A 74 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,980.0,23469,7,2,2,230.0
42,Unnamed Property,Jogeshwari West Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Carpet Area,640.0,28125,8,2,2,180.0
43,Spring Hills ,901 Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Super Built Up Area,1415.0,18091,9,3,3,256.0
44,Unnamed Property,4 14 Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Built Up Area,610.0,18852,1,1,1,115.0
45,Unnamed Property,Charni Road South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,950.0,31578,4,3,1,300.0
46,Unnamed Property,Building No 67 Pant Nagar Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,627.0,30303,12,2,2,190.0
47,Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,850.0,14118,3,2,2,120.0
48,Shyam Niwas Apartment ,Chembur Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1231.0,22339,5,3,3,275.0
49,Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,1250.0,28000,3,3,3,350.0
50,Unnamed Property,Flat No 201 Near Karnik Road Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Built Up Area,871.0,8610,2,2,2,75.0
51,Unnamed Property,Nalasopara West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,595.0,5882,3,2,1,35.0
52,Bharat Shiv Sai Paradise ,Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,951.0,17692,1,2,2,115.0
53,Unnamed Property,Dadar west Mumbai South West Mumbai,Dadar Mumbai,10+ Year,Ready To Move,Built Up Area,1180.0,40254,4,3,2,475.0
54,Unnamed Property,Gajanan Colony Road Jawahar Nagar Goregaon West Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,870.0,24712,2,3,3,215.0
55,Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Built Up Area,2000.0,15000,3,3,3,300.0
56,Unnamed Property,Katrap Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Carpet Area,945.0,4391,4,2,2,41.5
57,Fortune Springs ,1003 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,670.0,15454,10,1,1,68.0
58,Lodha Casa Ultima ,A 404 Chirak Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,594.0,13132,4,1,2,78.0
59,Unnamed Property,2d 203 Near Lokhandwala Circle New Mhada Verosva Versova Mumbai,Verosva Mumbai,10+ Year,Ready To Move,Carpet Area,695.0,25899,2,2,2,180.0
60,Unnamed Property,Borivali West Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,776.0,32989,3,2,1,256.0
61,Royal Palms Estate ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,1080.0,9259,-1,2,2,100.0
62,Unnamed Property,Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Carpet Area,590.0,33898,10,2,2,200.0
63,Oberoi Woods ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Super Built Up Area,1250.0,27200,2,3,2,340.0
64,Parinee Adney ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1060.0,25862,1,2,2,165.0
65,Unnamed Property,Divyam Heights Near Azad Nagar Metro Station Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1120.0,12053,8,2,2,155.0
66,Lodha Palava City ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,467.0,11349,6,1,2,53.0
67,Serenity Complex ,Oshiwara Mumbai,Oshiwara Mumbai,10+ Year,Ready To Move,Carpet Area,1525.0,22950,14,3,3,350.0
68,Om Classic ,Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,15889,4,2,2,143.0
69,Unnamed Property,A 2 8 Kopri Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,919.0,13057,2,1,1,120.0
70,Unnamed Property,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,725.0,53571,7,2,2,375.0
71,Shreeji Splendor ,Brahmand Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,540.0,12222,0,1,1,66.0
72,Unnamed Property,B 403 gulmohar Chs opp To Shivai School near Nahur Railway Station East Nahur East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,635.0,15748,4,2,1,100.0
73,Arihant Anmol ,Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,635.0,3937,1,1,1,25.0
74,Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,350.0,20571,1,1,1,72.0
75,Unnamed Property,Sector 19 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,340.0,16470,3,1,1,56.0
76,Unnamed Property,Gorai 2 Mumbai,Gorai Mumbai,10+ Year,Ready To Move,Super Built Up Area,1125.0,16000,2,2,2,180.0
77,Sumit Woods Sharda Sahaniwas ,B 603 Borivali East Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1025.0,15121,6,2,2,155.0
78,K Raheja Paradise Apartment ,Raheja Vihar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1535.0,24104,11,3,3,370.0
79,Unnamed Property,Indralok Phase 2 Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,512.0,12207,3,1,2,62.5
80,Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Super Built Up Area,2500.0,21000,12,5,5,525.0
81,Unnamed Property,Plot No 14 Sector 21 Ghansoli Navi Mumbai Maharashtra 400701 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1040.0,12500,1,2,2,130.0
82,Unnamed Property,Dhokali Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,730.0,10273,2,2,2,75.0
83,Unnamed Property,Opposite Archarya Collage Near Freeway Chembur Mumbai 400071 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Built Up Area,575.0,25000,17,1,2,125.0
84,Unnamed Property,B 407 Raghunath Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,660.0,12878,3,1,1,70.0
85,Unnamed Property,Kalbadevi Kalbadevi South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,400.0,47500,9,1,1,190.0
86,Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Carpet Area,440.0,7272,3,1,1,32.0
87,Unnamed Property,C 706 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1070.0,6448,7,2,2,69.0
88,Ashok Vihar ,C 001 Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Built Up Area,835.0,26168,0,2,2,140.0
89,Unnamed Property,2303 Solitaire A Wing Near Everest World Kolshet Road 400607 Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,650.0,11230,23,1,2,73.0
90,Vision Phoenix Heights ,Kalamboli Roadpali Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,810.0,7654,10,1,1,62.0
91,Unnamed Property,Kalina Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,3822.0,28780,2,6,4,1100.0
92,Lodha Enchante ,Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,463.0,33477,15,1,1,155.0
93,Vardhaman Vatika Vasind ,Vasind Mumbai Beyond Thane Mumbai,Vasind Mumbai,1 to 5 Year,Ready To Move,Built Up Area,854.0,3747,1,2,2,32.0
94,Unnamed Property,Ramdev Park Ramdev Park Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Plot Area,3000.0,18666,4,6,7,560.0
95,Arihant Anshula ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1082.0,4621,4,2,2,50.0
96,Unnamed Property,Kopargaon Mumbai Beyond Thane Mumbai,Kopargaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,419.0,10023,1,1,1,42.0
97,Chandak Sparkling Wings ,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,404.0,21783,18,1,2,83.0
98,Emgee Greens ,Wadala Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,1075.0,16744,3,2,2,180.0
99,Romell Shraddha ,401 And 402 IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1804.0,27716,4,6,3,500.0
100,Unnamed Property,Saki Vihar Road Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1370.0,25547,1,3,3,350.0
101,Lodha Luxuria ,Ffb 2301 Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Carpet Area,804.0,21019,23,2,2,169.0
102,Ekta Parksville ,Lincoln Park D 201 Virar West Mira Road And Beyond Mumbai,Mira Road,Under Construction,Under Construction,Carpet Area,667.0,7196,2,2,2,48.0
103,Lifescapes Mirage ,Matunga West South Mumbai Mumbai,Matunga Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1265.0,45103,5,2,2,350.0
104,Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,1012.0,19763,1,2,2,195.0
105,Unnamed Property,A Wing 101 Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,1070.0,16355,1,3,2,160.0
106,Krishna Vatika CHS ,Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Super Built Up Area,900.0,16111,7,2,2,145.0
107,Vastu Aarav Heights ,Dombivli West Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,370.0,7973,7,1,1,29.5
108,Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,435.0,18390,5,1,1,80.0
109,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,585.0,12820,7,2,2,75.0
110,Unnamed Property,Virar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,765.0,6013,11,1,2,46.0
111,Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Carpet Area,989.0,17189,20,3,3,170.0
112,Tata Amantra ,H 043 Avhani Tower Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1017.0,6391,4,2,1,65.0
113,RNA NG Regency ,Thane Bhiwandi Road Next To Dosti West County Balkum Thane Mumbai,Balkum Thane,5 to 10 Year,Ready To Move,Super Built Up Area,672.0,7872,3,1,1,52.0
114,Unnamed Property,102 Sector 8 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,950.0,10526,1,2,2,100.0
115,Goodbuild Shepherd Residency ,1601 A Wing Mitha Nagar Mumbai,Mitha Nagar Mumbai,10+ Year,Ready To Move,Super Built Up Area,855.0,18713,16,2,2,160.0
116,Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Carpet Area,1400.0,22142,11,3,3,310.0
117,Unnamed Property,Sindhu Wadi Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,2125.0,28235,3,4,4,585.0
118,Serenity Heights ,Marol Mumbai,Marol Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1113.0,29649,2,3,3,330.0
119,Riddhi Siddhi CHS ,504 Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,610.0,17213,5,1,2,105.0
120,Lodha Amara ,Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,557.0,15978,21,2,2,89.0
121,Vakratunda Palace ,B 1104 vakratunda Palace tank Road bhandup West Valmiki Nagar Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,678.0,24337,11,2,2,165.0
122,Ganraj Beauty Landmark ,Bhandup West Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,367.0,21799,19,1,1,80.0
123,Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,1071.0,7937,17,2,1,85.0
124,Unnamed Property,In Front Of D Mart Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,420.0,17857,4,1,2,75.0
125,Rohan Lifescapes Amrut Wadi ,183 Girgaum South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,410.0,44561,18,1,1,183.0
126,Unnamed Property,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,700.0,47142,9,2,2,330.0
127,Unnamed Property,Dadar West South Mumbai Mumbai,Dadar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1400.0,31428,3,4,3,440.0
128,Unnamed Property,Bhakti Mandir Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,757.0,19815,3,2,2,150.0
129,MICL Aaradhya Highpark ,Mira Road Mira Road And Beyond Mumbai,Mira Road,Under Construction,Under Construction,Carpet Area,630.0,21904,1,2,2,138.0
130,Unnamed Property,C401 Muthaval Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,643.0,6414,4,1,1,39.0
131,Sark Park View ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,550.0,8909,5,1,2,49.0
132,Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,6190,4,2,2,65.0
133,Unnamed Property,Bhandup East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,503.0,15806,0,1,1,79.5
134,Balaji Symphony ,New Panvel New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,805.0,8695,21,1,1,70.0
135,Unnamed Property,Near Vandana Godavari Building Versova Mumbai,Verosva Mumbai,10+ Year,Ready To Move,Built Up Area,970.0,20834,1,2,2,215.0
136,Unnamed Property,Sector 16 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,500.0,13000,4,1,1,65.0
137,Unnamed Property,302 A3 Shree Datta Nagari Kalher Thane Mumbai,Kalher Thane,1 to 5 Year,Ready To Move,Built Up Area,720.0,3055,3,1,1,22.0
138,Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000.0,8000,5,2,2,80.0
139,Wellwisher Town ,Khopoli Mumbai Beyond Thane Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1000.0,7000,8,2,2,42.0
140,Unnamed Property,Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,913.0,9309,1,2,2,85.0
141,Unnamed Property,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,610.0,20819,12,2,2,127.0
142,Unnamed Property,102 Vakola Mumbai South West Mumbai,Vakola Mumbai,10+ Year,Ready To Move,Carpet Area,450.0,27777,1,2,2,125.0
143,Unnamed Property,Sector 24 Sector 24 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,575.0,6434,1,1,2,37.0
144,Unnamed Property,C15 Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,350.0,9714,3,1,1,34.0
145,Unnamed Property,C 5 d 4 Lokmanya Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,350.0,14285,0,1,1,50.0
146,Unnamed Property,Virar West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Built Up Area,590.0,4746,3,1,1,28.0
147,Triveni Ultima Bliss ,1504 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,758.0,7519,15,1,2,60.0
148,Unnamed Property,005 Chipale Navi Mumbai Mumbai,Chipale Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,950.0,6315,0,2,2,54.0
149,Unnamed Property,Old Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,750.0,12553,3,1,1,59.0
150,Sai Sastha Crystal ,1606 Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,337.0,20771,16,1,1,70.0
151,CGEWHO Kendriya Vihar ,C 7 11 Sector 11 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1200.0,9916,3,3,2,119.0
152,Mehek CHS ,Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,545.0,16513,5,2,2,90.0
153,Marathon Nexzone ,Altis New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,866.0,8083,6,2,2,70.0
154,Mittal Tower CHS ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,647.0,18547,4,2,2,120.0
155,Lodha Regency ,Y401 Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Built Up Area,835.0,7878,4,2,2,58.0
156,Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Built Up Area,740.0,7162,1,2,2,53.0
157,Unnamed Property,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,540.0,5555,4,1,1,30.0
158,Lodha Eternis ,Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Carpet Area,854.0,31030,5,2,2,265.0
159,Gitanjali Tatva ,Borivali East Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1350.0,20370,14,3,2,275.0
160,Kohinoor Majestic ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,Under Construction,Under Construction,Built Up Area,725.0,6896,15,1,2,50.0
161,MM Spectra ,1506 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1496.0,12032,15,2,2,180.0
162,Unnamed Property,Kopar Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Carpet Area,676.0,15733,4,2,2,118.0
163,Pam Vasant ,Virar East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Built Up Area,1055.0,8056,4,2,2,80.0
164,Unnamed Property,Byculla East Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,800.0,33750,1,2,2,270.0
165,Asmitha Jyothi CHS ,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Super Built Up Area,621.0,12560,6,1,2,78.0
166,Unnamed Property,Naupada Thane Mumbai,Naupada Thane,10+ Year,Ready To Move,Built Up Area,650.0,15384,9,1,1,100.0
