Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability
Toll Free 1800 41 99099," Borivali West, Mumbai Andheri-Dahisar, Mumbai",1.62 Crore,"28,672",Carpet area: 565 (52.49 sq.m.),2.0,2.0,13rd  ,0 to 1 Year Old, Ready to move Property
Toll Free 1800 41 99099," Borivali West, Mumbai Andheri-Dahisar, Mumbai",1.05 Crore,"23,333",Carpet area: 450 (41.81 sq.m.),1.0,1.0,2nd  ,10+ Year Old, Ready to move Property
Toll Free 1800 41 99099," Vazira, Mumbai Andheri-Dahisar, Mumbai",1.1 Crore,"27,500",Carpet area: 400 (37.16 sq.m.),1.0,1.0,6th  ,5 to 10 Year Old, Ready to move Property
Mallhar Bhimashankar Heights ," Kandarpada, Mumbai Andheri-Dahisar, Mumbai",1.95 Crore,"26,566",Carpet area: 734 (68.19 sq.m.),2.0,3.0,19th  ,0 to 1 Year Old, Ready to move Property
Omkar Vive ," kurla west, Central Mumbai suburbs, Mumbai",1.05 Crore,"25,672",Carpet area: 409 (38 sq.m.),1.0,1.0,2nd  ,0 to 1 Year Old, Ready to move
Ventures Residency ,"123, Kharghar, Navi Mumbai, Mumbai",90 Lac,"7,317",Super Built up area 1230(114.27 sq.m.),2.0,2.0,11st  ,5 to 10 Year Old, Ready to move
Bhoomi Park ,"302, Jankalyan Nagar, Mumbai Andheri-Dahisar, Mumbai",88 Lac,"14,080",Super Built up area 625(58.06 sq.m.)Carpet area: 431 sq.ft. (40.04 sq.m.),1.0,2.0,3rd  ,10+ Year Old, Ready to move Property
Silicon Park ,"1401, Jankalyan Nagar, Mumbai Andheri-Dahisar, Mumbai",90 Lac,"12,857",Super Built up area 700(65.03 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1.0,2.0,14th  ,1 to 5 Year Old, Ready to move Property
Gurukrupa Marina Enclave ,"1301, Malad West, Mumbai Andheri-Dahisar, Mumbai",1.05 Crore,"23,230",Carpet area: 452 (41.99 sq.m.),1.0,2.0,13rd  ,1 to 5 Year Old, Ready to move Property
Gurukrupa Marina Enclave ,"1202, Malad West, Mumbai Andheri-Dahisar, Mumbai",1.42 Crore,"22,257",Carpet area: 638 (59.27 sq.m.),2.0,2.0,12nd  ,0 to 1 Year Old, Ready to move Property
Gurukrupa Marina Enclave ,"1201, Malad West, Mumbai Andheri-Dahisar, Mumbai",1.41 Crore,"22,204",Carpet area: 635 (58.99 sq.m.),2.0,2.0,12nd  ,0 to 1 Year Old, Ready to move Property
Gurukrupa Marina Enclave ,"1203, Malad West, Mumbai Andheri-Dahisar, Mumbai",1.55 Crore,"24,409",Carpet area: 635 (58.99 sq.m.),2.0,2.0,12nd  ,0 to 1 Year Old, Ready to move Property
Gurukrupa Marina Enclave ,"1204, Malad West, Mumbai Andheri-Dahisar, Mumbai",2.02 Crore,"24,105",Carpet area: 838 (77.85 sq.m.),3.0,3.0,12nd  ,0 to 1 Year Old, Ready to move Property
Bhoomi Park ,"901, Jankalyan Nagar, Mumbai Andheri-Dahisar, Mumbai",1.85 Crore,"15,416",Super Built up area 1200(111.48 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3.0,3.0,9th  ,10+ Year Old, Ready to move Property
Tricity Symphony ," Sector 35D Kharghar, Navi Mumbai, Mumbai",90 Lac,"8,333",Super Built up area 1080(100.34 sq.m.),2.0,2.0,5th  ,5 to 10 Year Old, Ready to move Property
Royal Oasis ,"1302, Jankalyan Nagar, Mumbai Andheri-Dahisar, Mumbai",1.41 Crore,"21,001",Carpet area: 669 (62.15 sq.m.),2.0,2.0,13rd  ,5 to 10 Year Old, Ready to move Property
Royal Oasis ,"902, Jankalyan Nagar, Mumbai Andheri-Dahisar, Mumbai",1.35 Crore,"22,500",Carpet area: 600 (55.74 sq.m.),2.0,2.0,9th  ,5 to 10 Year Old, Ready to move Property
Royal Oasis ,"805, Jankalyan Nagar, Mumbai Andheri-Dahisar, Mumbai",1.4 Crore,"23,333",Carpet area: 600 (55.74 sq.m.),2.0,2.0,8th  ,5 to 10 Year Old, Ready to move Property
Ahuja Sea Shell Apartment ," Sector 8 Charkop, Mumbai Andheri-Dahisar, Mumbai",1.28 Crore,"18,962",Carpet area: 675 (62.71 sq.m.),2.0,2.0,2nd  ,10+ Year Old, Ready to move
Sunteck City Avenue 1 ,"1903, Goregaon West, Mumbai Andheri-Dahisar, Mumbai",2.39 Crore,"19,916",Super Built up area 1200(111.48 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 866 sq.ft. (80.45 sq.m.),2.0,2.0,19th  ,0 to 1 Year Old, Ready to move Property
Yashwant Arcade CHS ," Koperkhairane, Navi Mumbai, Mumbai",96 Lac,"14,769",Carpet area: 650 (60.39 sq.m.),2.0,2.0,2nd  ,5 to 10 Year Old, Ready to move
Triveni Laurel ,"1652, Gauripada, Mumbai Beyond Thane, Mumbai",1.05 Crore,"9,083",Super Built up area 1156(107.4 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2.0,2.0,15th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"6542, Khadakpada, Mumbai Beyond Thane, Mumbai",1.22 Crore,"7,896",Built Up area: 1545 (143.54 sq.m.)Carpet area: 1045 sq.ft. (97.08 sq.m.),3.0,3.0,9th  ,5 to 10 Year Old, Ready to move
Kings Court by TCJ Realty ,"1235, Kalyan West, Mumbai Beyond Thane, Mumbai",82 Lac,"7,008",Super Built up area 1170(108.7 sq.m.)Carpet area: 765 sq.ft. (71.07 sq.m.),2.0,2.0,3rd  ,5 to 10 Year Old, Ready to move
Tharwani Riverdale ,"2356, Khadakpada, Mumbai Beyond Thane, Mumbai",75 Lac,"6,637",Super Built up area 1130(104.98 sq.m.)Carpet area: 736 sq.ft. (68.38 sq.m.),2.0,2.0,2nd  ,5 to 10 Year Old, Ready to move
Mohan Highlands ," Katrap, Mumbai Beyond Thane, Mumbai",60 Lac,"4,511",Built Up area: 1330 (123.56 sq.m.),3.0,3.0,3rd  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," secter 7 koparkhairne, Navi Mumbai, Mumbai",1.1 Crore,"10,476",Super Built up area 1050(97.55 sq.m.)Built Up area: 886 sq.ft. (82.31 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2.0,2.0,Ground,5 to 10 Year Old, Ready to move
Deep Manohar Shreeji Nirvana ," Badlapur East, Mumbai Beyond Thane, Mumbai",37 Lac,"4,625",Built Up area: 800 (74.32 sq.m.),2.0,2.0,1st  ,1 to 5 Year Old, Ready to move
Ganraj Eknath Residency ," Dombivli East, Mumbai Beyond Thane, Mumbai",19.61 Lac,"5,447",Built Up area: 360 (33.45 sq.m.)Carpet area: 260 sq.ft. (24.15 sq.m.),1.0,1.0,4th  ,0 to 1 Year Old, Ready to move
Satyam Paradise ," Katrap, Mumbai Beyond Thane, Mumbai",37 Lac,"4,228",Built Up area: 875 (81.29 sq.m.),2.0,2.0,6th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"1234, Tilak chowk, Mumbai Beyond Thane, Mumbai",95 Lac,"10,270",Built Up area: 925 (85.94 sq.m.)Carpet area: 625 sq.ft. (58.06 sq.m.),2.0,2.0,6th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099,"4532, Adharwadi, Mumbai Beyond Thane, Mumbai",1.72 Crore,"5,733",Built Up area: 3000 (278.71 sq.m.)Carpet area: 2160 sq.ft. (200.67 sq.m.),4.0,4.0,14th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Vile Parle East, Mumbai South West, Mumbai",4.03 Crore,"32,162",Built Up area: 1253 (116.41 sq.m.)Carpet area: 895 sq.ft. (83.15 sq.m.),3.0,3.0,10th  ,0 to 1 Year Old, Ready to move
Maghnani Euphoria ,"Near New Daily Mart, Sector 18 Ulwe, Navi Mumbai, Mumbai",53.51 Lac,"7,611",Super Built up area 703(65.31 sq.m.),1.0,2.0,1st  ,0 to 1 Year Old, Ready to move Property
Toll Free 1800 41 99099,"Near Ramseth Thakur Sports Complex, Sector 16 Ulwe, Navi Mumbai, Mumbai",70 Lac,"7,000",Super Built up area 1000(92.9 sq.m.),2.0,2.0,2nd  ,0 to 1 Year Old, Ready to move Property
Lodha Aurum Grande ," Kanjur Marg East, Central Mumbai suburbs, Mumbai",2.1 Crore,"26,415",Carpet area: 795 (73.86 sq.m.),2.0,2.0,33rd  ,1 to 5 Year Old, Ready to move
Arkade Earth ," Kanjur Marg East, Central Mumbai suburbs, Mumbai",1.98 Crore,"17,647",Super Built up area 1122(104.24 sq.m.)Built Up area: 925 sq.ft. (85.94 sq.m.)Carpet area: 707 sq.ft. (65.68 sq.m.),2.0,2.0,19th  ,0 to 1 Year Old, Ready to move
Kanakia Hollywood ," Versova, Mumbai Andheri-Dahisar, Mumbai",7.25 Crore,"46,774",Carpet area: 1550 (144 sq.m.),4.0,4.0,15th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Bandra East, Mumbai South West, Mumbai",1.05 Crore,"27,631",Carpet area: 380 (35.3 sq.m.),1.0,1.0,3rd  ,10+ Year Old, Ready to move
Cosmos Park ," kavesar, Thane, Mumbai",1.2 Crore,"14,117",Carpet area: 850 (78.97 sq.m.),2.0,3.0,7th  ,5 to 10 Year Old, Ready to move
Cosmos Park ," kavesar, Thane, Mumbai",60 Lac,"9,600",Super Built up area 625(58.06 sq.m.)Built Up area: 580 sq.ft. (53.88 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.),1.0,2.0,1st  ,5 to 10 Year Old, Ready to move
Cosmos Park ," kavesar, Thane, Mumbai",85 Lac,"14,655",Carpet area: 580 (53.88 sq.m.),2.0,2.0,4th  ,5 to 10 Year Old, Ready to move
Evershine Avenue ," Virar West, Mira Road And Beyond, Mumbai",42 Lac,"4,285",Super Built up area 980(91.04 sq.m.)Carpet area: 620 sq.ft. (57.6 sq.m.),2.0,2.0,1st  ,1 to 5 Year Old, Ready to move
Agarwal Solitaire ," Virar West, Mira Road And Beyond, Mumbai",33 Lac,"5,365",Super Built up area 625(58.06 sq.m.)Carpet area: 615 sq.ft. (57.14 sq.m.),1.0,2.0,6th  ,1 to 5 Year Old, Ready to move
Vishwa Hans ,"602, Sector 35D Kharghar, Navi Mumbai, Mumbai",1.17 Crore,"14,233",Carpet area: 822 (76.37 sq.m.),2.0,2.0,8th  ,1 to 5 Year Old, Ready to move Property
Vijay Vilas ," kavesar, Thane, Mumbai",88 Lac,"9,411",Super Built up area 935(86.86 sq.m.)Built Up area: 855 sq.ft. (79.43 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,2.0,7th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"501, Bhandup Village Road, Central Mumbai suburbs, Mumbai",85 Lac,"15,740",Built Up area: 540 (50.17 sq.m.)Carpet area: 412 sq.ft. (38.28 sq.m.),1.0,2.0,5th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Bhandup East, Central Mumbai suburbs, Mumbai",80 Lac,"18,390",Built Up area: 435 (40.41 sq.m.)Carpet area: 345 sq.ft. (32.05 sq.m.),1.0,1.0,6th  ,10+ Year Old, Ready to move
Orovia Phase 1 ," Hiranandani Estate, Thane, Mumbai",1.35 Crore,"15,340",Carpet area: 880 (81.75 sq.m.),3.0,3.0,15th  ,0 to 1 Year Old, Ready to move
Trishul Symphony ," Sector 19 Kharghar, Navi Mumbai, Mumbai",1.74 Crore,"8,700",Super Built up area 2000(185.81 sq.m.),3.0,3.0,12nd  ,1 to 5 Year Old, Ready to move Property
Rachna Mangala Residency ," Taloja, Navi Mumbai, Mumbai",80 Lac,"6,400",Built Up area: 1250 (116.13 sq.m.),2.0,2.0,16th  ,1 to 5 Year Old, Ready to move Property
Toll Free 1800 41 99099," Dombivli West, Mumbai Beyond Thane, Mumbai",83 Lac,"8,645",Built Up area: 960 (89.19 sq.m.),2.0,2.0,5th  ,5 to 10 Year Old, Ready to move
Agarwal Lifestyle ,"603, Virar West, Mira Road And Beyond, Mumbai",35.41 Lac,"4,987",Super Built up area 710(65.96 sq.m.),1.0,2.0,6th  ,1 to 5 Year Old, Ready to move
Bhairaav Gold Crest Residency ,"102, Ghansoli, Navi Mumbai, Mumbai",90 Lac,"12,987",Super Built up area 693(64.38 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),1.0,1.0,10th  ,0 to 1 Year Old, Ready to move
Mahavir Kanti Pride ," Vasai East, Mira Road And Beyond, Mumbai",40 Lac,"10,810",Carpet area: 370 (34.37 sq.m.),1.0,1.0,2nd  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Pokhran 2, Thane, Mumbai",72 Lac,"18,000",Carpet area: 400 (37.16 sq.m.),1.0,1.0,4th  ,10+ Year Old, Ready to move
Goodwill Gardens ," Sector 8 Kharghar, Navi Mumbai, Mumbai",1.05 Crore,"11,052",Built Up area: 950 (88.26 sq.m.),2.0,2.0,1st  ,5 to 10 Year Old, Ready to move Property
Siddharth Geetanjali Sujay ,"002, Sector 34C Kharghar, Navi Mumbai, Mumbai",3.39 Crore,"14,125",Carpet area: 2400 (222.97 sq.m.),6.0,6.0,6th  ,1 to 5 Year Old, Ready to move
Siddharth Geetanjali Sujay ,"001, Sector 34C Kharghar, Navi Mumbai, Mumbai",1.74 Crore,"15,130",Super Built up area 1615(150.04 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3.0,3.0,9th  ,1 to 5 Year Old, Ready to move
B Chopda Oval Apartments ,"000, Kharghar, Navi Mumbai, Mumbai",1.71 Crore,"10,490",Super Built up area 1630(151.43 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,3.0,9th  ,1 to 5 Year Old, Ready to move
B Chopda Oval Apartments ,"000, Kharghar, Navi Mumbai, Mumbai",3.29 Crore,"10,281",Super Built up area 3200(297.29 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),6.0,6.0,28th  ,1 to 5 Year Old, Ready to move
DSS Mahavir Classik ,"Mahavir Classik, Powai, Central Mumbai suburbs, Mumbai",1.35 Crore,"15,883",Super Built up area 850(78.97 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),1.0,2.0,8th  ,5 to 10 Year Old, Ready to move
DSS Mahavir Classik ,"Flat No 701 And 702 C Wing, Powai, Central Mumbai suburbs, Mumbai",2.95 Crore,"18,334",Super Built up area 1500(139.35 sq.m.),4.0,4.0,7th  ,5 to 10 Year Old, Ready to move
Anmol Sadan ," Kharghar, Navi Mumbai, Mumbai",1.1 Crore,"7,333",Super Built up area 1500(139.35 sq.m.),3.0,3.0,5th  ,5 to 10 Year Old, Ready to move Property
Swaraj Symphony ," Sector 10 Kharghar, Navi Mumbai, Mumbai",52 Lac,"8,125",Built Up area: 640 (59.46 sq.m.),1.0,1.0,1st  ,5 to 10 Year Old, Ready to move Property
Lodha Fiorenza ," Goregaon East, Mumbai Andheri-Dahisar, Mumbai",3 Crore,"35,799",Carpet area: 838 (77.85 sq.m.),2.0,2.0,42  ,1 to 5 Year Old, Ready to move Property
Lodha Fiorenza ," Goregaon East, Mumbai Andheri-Dahisar, Mumbai",3.65 Crore,"33,181",Carpet area: 1100 (102.19 sq.m.),3.0,3.0,20th  ,1 to 5 Year Old, Ready to move Property
Prachi Residency ,"304, Badlapur, Mumbai Beyond Thane, Mumbai",33 Lac,"6,875",Carpet area: 480 (44.59 sq.m.),2.0,2.0,3rd  ,0 to 1 Year Old, Ready to move
Wadhawa The Nest ,"111, DN Nagar, Mumbai Andheri-Dahisar, Mumbai",5.3 Crore,"39,849",Carpet area: 1330 (123.56 sq.m.),3.0,4.0,2nd  ,0 to 1 Year Old, Ready to move Property
Lodha Fiorenza ," Goregaon East, Mumbai Andheri-Dahisar, Mumbai",2.97 Crore,"33,483",Carpet area: 887 (82.4 sq.m.),2.0,2.0,18th  ,1 to 5 Year Old, Ready to move Property
Raj Shreeji Iconic ,"Near Panvel Highway, Badlapur East, Mumbai Beyond Thane, Mumbai",26.5 Lac,"4,608",Built Up area: 575 (53.42 sq.m.),1.0,1.0,3rd  ,0 to 1 Year Old, Ready to move
Lodha New Cuffe Parade ,"008, Wadala, Mumbai Harbour, Mumbai",2.79 Crore,"29,153",Carpet area: 957 (88.91 sq.m.),2.0,2.0,21st  ,1 to 5 Year Old, Ready to move Property
Panvelkar Estate ,"003, Badlapur East, Mumbai Beyond Thane, Mumbai",17.75 Lac,"3,086",Super Built up area 575(53.42 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 390 sq.ft. (36.23 sq.m.),1.0,1.0,Ground,1 to 5 Year Old, Ready to move
Lodha New Cuffe Parade ,"008, Wadala, Mumbai Harbour, Mumbai",2.87 Crore,"30,020",Carpet area: 956 (88.82 sq.m.),2.0,2.0,31st  ,1 to 5 Year Old, Ready to move Property
Lodha New Cuffe Parade ,"008, Wadala, Mumbai Harbour, Mumbai",2.75 Crore,"19,713",Super Built up area 1395(129.6 sq.m.)Carpet area: 957 sq.ft. (88.91 sq.m.),2.0,2.0,26th  ,1 to 5 Year Old, Ready to move Property
Indiabulls Greens ," Panvel, Navi Mumbai, Mumbai",1.24 Crore,"8,857",Carpet area: 1400 (130.06 sq.m.),3.0,3.0,9th  ,1 to 5 Year Old, Ready to move
Indiabulls Greens ," Panvel, Navi Mumbai, Mumbai",63.5 Lac,"7,126",Carpet area: 891 (82.78 sq.m.),2.0,2.0,7th  ,1 to 5 Year Old, Ready to move
Indiabulls Greens ," Panvel, Navi Mumbai, Mumbai",61.75 Lac,"6,930",Carpet area: 891 (82.78 sq.m.),2.0,2.0,3rd  ,1 to 5 Year Old, Ready to move
Indiabulls Greens ," Panvel, Navi Mumbai, Mumbai",55.5 Lac,"6,228",Carpet area: 891 (82.78 sq.m.),2.0,2.0,10th  ,1 to 5 Year Old, Ready to move
Indiabulls Greens ," Panvel, Navi Mumbai, Mumbai",1.26 Crore,"7,508",Carpet area: 1678 (155.89 sq.m.),4.0,4.0,32nd  ,1 to 5 Year Old, Ready to move
Indiabulls Greens ," Panvel, Navi Mumbai, Mumbai",64.5 Lac,"7,239",Carpet area: 891 (82.78 sq.m.),2.0,2.0,14th  ,1 to 5 Year Old, Ready to move
Indiabulls Greens ," Panvel, Navi Mumbai, Mumbai",87 Lac,"5,147",Super Built up area 1690(157.01 sq.m.),3.0,3.0,19th  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099," Chikuwadi, Mumbai Andheri-Dahisar, Mumbai",1.55 Crore,"25,833",Carpet area: 600 (55.74 sq.m.),2.0,2.0,7th  ,10+ Year Old, Ready to move Property
Toll Free 1800 41 99099,"001, Shirgaon, Mumbai Beyond Thane, Mumbai",21 Lac,"3,500",Super Built up area 600(55.74 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 415 sq.ft. (38.55 sq.m.),1.0,1.0,Ground,0 to 1 Year Old, Ready to move
Shanti Green Palms ," Sector 15 Ghansoli, Navi Mumbai, Mumbai",2 Crore,"12,738",Super Built up area 1570(145.86 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,3.0,3rd  ,1 to 5 Year Old, Ready to move
City Century One ," Sector 21 Ghansoli, Navi Mumbai, Mumbai",1.05 Crore,"11,797",Super Built up area 890(82.68 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2.0,14th  ,0 to 1 Year Old, Ready to move
City Century One ," Sector 21 Ghansoli, Navi Mumbai, Mumbai",1.07 Crore,"10,700",Super Built up area 1000(92.9 sq.m.),2.0,2.0,9th  ,1 to 5 Year Old, Ready to move
Shanti Green Palms ," Sector 15 Ghansoli, Navi Mumbai, Mumbai",1.9 Crore,"12,101",Built Up area: 1570 (145.86 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,3.0,7th  ,0 to 1 Year Old, Ready to move
SD Alpine ," Kandivali East, Mumbai Andheri-Dahisar, Mumbai",2.75 Crore,"30,623",Carpet area: 898 (83.43 sq.m.),3.0,2.0,2nd  ,1 to 5 Year Old, Ready to move Property
Ajmera New Era ,"Opp. Kdmc Bus Depot, Murbad Road, Kalyan West, Mumbai Beyond Thane, Mumbai",85 Lac,"7,508",Super Built up area 999(92.81 sq.m.)Carpet area: 685 sq.ft. (63.64 sq.m.),2.0,2.0,19th  ,1 to 5 Year Old, Ready to move
Ajmera New Era ," Kalyan West, Mumbai Beyond Thane, Mumbai",55 Lac,"7,735",Super Built up area 711(66.05 sq.m.)Built Up area: 635 sq.ft. (58.99 sq.m.)Carpet area: 460 sq.ft. (42.74 sq.m.),1.0,2.0,11st  ,1 to 5 Year Old, Ready to move
Raj Tulsi City ," Badlapur East, Mumbai Beyond Thane, Mumbai",22 Lac,"3,577",Super Built up area 615(57.14 sq.m.),1.0,1.0,4th  ,5 to 10 Year Old, Ready to move
SD Epsilon Tower ,"W.E.Highway,kandivali East, Thakur Village, Mumbai Andheri-Dahisar, Mumbai",2.4 Crore,"18,750",Super Built up area 1280(118.92 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 763 sq.ft. (70.89 sq.m.),2.0,2.0,29th  ,0 to 1 Year Old, Ready to move
SD Epsilon Tower ,"W.E.Highway,kandivali East, Thakur Village, Mumbai Andheri-Dahisar, Mumbai",2.1 Crore,"20,000",Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 631 sq.ft. (58.62 sq.m.),2.0,2.0,29th  ,0 to 1 Year Old, Ready to move
Marathon Galaxy ," Moti Nagar, Central Mumbai suburbs, Mumbai",2.85 Crore,"31,666",Carpet area: 900 (83.61 sq.m.),3.0,3.0,3rd  ,5 to 10 Year Old, Ready to move Property
Runwal Greens ," Mulund West, Central Mumbai suburbs, Mumbai",2.9 Crore,"23,387",Carpet area: 1240 (115.2 sq.m.),3.0,3.0,31st  ,10+ Year Old, Ready to move Property
Nirmal Lifestyle Residency CHS ," Mulund West, Central Mumbai suburbs, Mumbai",1.85 Crore,"21,764",Super Built up area 850(78.97 sq.m.),2.0,2.0,14th  ,0 to 1 Year Old, Ready to move Property
Runwal Greens ," Mulund West, Central Mumbai suburbs, Mumbai",2.95 Crore,"21,345",Carpet area: 1382 (128.39 sq.m.),3.0,3.0,37th  ,10+ Year Old, Ready to move Property
