Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude
Bharat Shiv Sai Paradise ,Majiwada Thane Mumbai,1.15 Crore,17692,Super Built Up Area,2,2,1,5 to 10 Year,Ready To Move,951.0,Majiwada Thane,115.0,19.2000627,72.9666732
Unnamed Property,Dahisar East Mumbai,3 Crore,15000,Built Up Area,3,3,3,5 to 10 Year,Ready To Move,2000.0,Dahisar Mumbai,300.0,19.2486925,72.8640593
Fortune Springs ,1003 Kharghar Navi Mumbai Mumbai,68 Lac,15454,Built Up Area,1,1,10,1 to 5 Year,Ready To Move,670.0,Kharghar Navi-Mumbai,68.0,19.0433404,73.0663401
Unnamed Property,Borivali West Borivali West Mumbai,2.56 Crore,32989,Carpet Area,2,1,3,10+ Year,Ready To Move,776.0,Borivali Borivali,256.0,19.2285516,72.8521468
Royal Palms Estate ,Goregaon East Mumbai,1 Crore,9259,Built Up Area,2,2,-1,10+ Year,Ready To Move,1080.0,Goregaon Mumbai,100.0,19.1692623,72.8552548
Unnamed Property,Andheri West Mumbai,2 Crore,33898,Carpet Area,2,2,10,1 to 5 Year,Ready To Move,590.0,Andheri Mumbai,200.0,19.1172495,72.833968
Oberoi Woods ,Goregaon East Mumbai,3.4 Crore,27200,Super Built Up Area,3,2,2,10+ Year,Ready To Move,1250.0,Goregaon Mumbai,340.0,19.1692623,72.8552548
Parinee Adney ,Borivali West Mumbai,1.65 Crore,25862,Built Up Area,2,2,1,0 to 1 Year,Ready To Move,1060.0,Borivali Mumbai,165.0,19.2294561,72.8479905
Lodha Palava City ,Dombivli East Thane Mumbai,53 Lac,11349,Built Up Area,1,2,6,0 to 1 Year,Ready To Move,467.0,Dombivli Thane,53.0,19.2111814,73.091129
Serenity Complex ,Oshiwara Mumbai,3.5 Crore,22950,Carpet Area,3,3,14,10+ Year,Ready To Move,1525.0,Oshiwara Mumbai,350.0,19.1502437,72.8342294
Unnamed Property,A 2 8 Kopri Thane Mumbai,1.2 Crore,13057,Super Built Up Area,1,1,2,10+ Year,Ready To Move,919.0,Kopri Thane,120.0,19.1825941,72.9732621
Shreeji Splendor ,Brahmand Thane Mumbai,66 Lac,12222,Built Up Area,1,1,0,5 to 10 Year,Ready To Move,540.0,Brahmand Thane,66.0,19.2469649,72.9818412
Unnamed Property,Dahisar East Mumbai,72 Lac,20571,Carpet Area,1,1,1,10+ Year,Ready To Move,350.0,Dahisar Mumbai,72.0,19.2486925,72.8640593
Unnamed Property,Sector 19 Airoli Navi Mumbai Mumbai,56 Lac,16470,Carpet Area,1,1,3,10+ Year,Ready To Move,340.0,Airoli Navi-Mumbai,56.0,19.1593193,72.9906831
Unnamed Property,Gorai 2 Mumbai,1.8 Crore,16000,Super Built Up Area,2,2,2,10+ Year,Ready To Move,1125.0,Gorai Mumbai,180.0,19.2292486,72.8290479
Sumit Woods Sharda Sahaniwas ,B 603 Borivali East Mumbai,1.55 Crore,15121,Super Built Up Area,2,2,6,1 to 5 Year,Ready To Move,1025.0,B Borivali,155.0,19.2267228,72.8619328
Unnamed Property,Kandivali West Mumbai,5.25 Crore,21000,Super Built Up Area,5,5,12,10+ Year,Ready To Move,2500.0,Kandivali Mumbai,525.0,19.2084002,72.8422235
Unnamed Property,Dhokali Thane Mumbai,75 Lac,10273,Built Up Area,2,2,2,10+ Year,Ready To Move,730.0,Dhokali Thane,75.0,19.225128,72.9813793
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,32 Lac,7272,Carpet Area,1,1,3,10+ Year,Ready To Move,440.0,Dombivli Thane,32.0,19.2180493,73.0861355
Ashok Vihar ,C 001 Marol Mumbai,1.4 Crore,26168,Built Up Area,2,2,0,10+ Year,Ready To Move,835.0,C- Marol,140.0,19.1098394,72.8840451
Vision Phoenix Heights ,Kalamboli Roadpali Navi Mumbai Mumbai,62 Lac,7654,Super Built Up Area,1,1,10,5 to 10 Year,Ready To Move,810.0,Roadpali Navi-Mumbai,62.0,19.0392786,73.0992311
Chandak Sparkling Wings ,Dahisar East Mumbai,83 Lac,21783,Carpet Area,1,2,18,5 to 10 Year,Ready To Move,404.0,Dahisar Mumbai,83.0,19.2486925,72.8640593
Unnamed Property,New Panvel Navi Mumbai Mumbai,5.2 Crore,247619,Plot Area,5,4,4,0 to 1 Year,Ready To Move,210.0,Panvel Navi-Mumbai,520.0,18.9949462,73.1146581
Unnamed Property,Goregaon West Mumbai,1.95 Crore,19763,Built Up Area,2,2,1,10+ Year,Ready To Move,1012.0,Goregaon Mumbai,195.0,19.1633281,72.8411995
Krishna Vatika CHS ,Dahisar East Mumbai,1.45 Crore,16111,Super Built Up Area,2,2,7,10+ Year,Ready To Move,900.0,Dahisar Mumbai,145.0,19.2486925,72.8640593
Vastu Aarav Heights ,Dombivli West Dombivli West Thane Mumbai,29.5 Lac,7973,Carpet Area,1,1,7,1 to 5 Year,Ready To Move,370.0,Dombivli Thane,29.5,19.2180493,73.0861355
Unnamed Property,Thane West Thane Mumbai,80 Lac,18390,Carpet Area,1,1,5,10+ Year,Ready To Move,435.0,Thane Thane,80.0,19.03160615,73.01425130283573
Unnamed Property,Dombivli East Thane Mumbai,75 Lac,12820,Carpet Area,2,2,7,0 to 1 Year,Ready To Move,585.0,Dombivli Thane,75.0,19.2111814,73.091129
Acme Ozone ,Manpada Thane Mumbai,1.7 Crore,17189,Carpet Area,3,3,20,1 to 5 Year,Ready To Move,989.0,Manpada Thane,170.0,19.2353185,72.9759496
Unnamed Property,Hiranandani Estate Thane Mumbai,3.1 Crore,22142,Carpet Area,3,3,11,10+ Year,Ready To Move,1400.0,Hiranandani-Estate Thane,310.0,19.2570093,72.98392629891234
Serenity Heights ,Marol Mumbai,3.3 Crore,29649,Carpet Area,3,3,2,0 to 1 Year,Ready To Move,1113.0,Marol Mumbai,330.0,19.11314845,72.87588069562872
Lodha Amara ,Kolshet Road Thane Mumbai,89 Lac,15978,Carpet Area,2,2,21,1 to 5 Year,Ready To Move,557.0,Road Thane,89.0,19.2326261,72.9875274
Sark Park View ,Kharghar Navi Mumbai Mumbai,49 Lac,8909,Carpet Area,1,2,5,5 to 10 Year,Ready To Move,550.0,Kharghar Navi-Mumbai,49.0,19.025773,73.0591845321935
Balaji Symphony ,New Panvel New Panvel Navi Mumbai Mumbai,70 Lac,8695,Super Built Up Area,1,1,21,1 to 5 Year,Ready To Move,805.0,Panvel Navi-Mumbai,70.0,18.9949462,73.1146581
Unnamed Property,Sector 16 Ghansoli Navi Mumbai Mumbai,65 Lac,13000,Super Built Up Area,1,1,4,5 to 10 Year,Ready To Move,500.0,Ghansoli Navi-Mumbai,65.0,19.1163253,72.9947614369014
Unnamed Property,Ulwe Navi Mumbai Mumbai,80 Lac,8000,Built Up Area,2,2,5,5 to 10 Year,Ready To Move,1000.0,Ulwe Navi-Mumbai,80.0,18.97686135,73.0201311109118
Mehek CHS ,Sector 12 Kharghar Navi Mumbai Mumbai,90 Lac,16513,Carpet Area,2,2,5,10+ Year,Ready To Move,545.0,Kharghar Navi-Mumbai,90.0,19.0448864,73.0643216
Mittal Tower CHS ,Koparkhairane Navi Mumbai Mumbai,1.2 Crore,18547,Carpet Area,2,2,4,10+ Year,Ready To Move,647.0,Koparkhairane Navi-Mumbai,120.0,19.10083655,72.99854110561807
Lodha Regency ,Y401 Dombivli East Thane Mumbai,58 Lac,7878,Built Up Area,2,2,4,5 to 10 Year,Ready To Move,835.0,Dombivli Thane,58.0,19.2111814,73.091129
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,53 Lac,7162,Built Up Area,2,2,1,10+ Year,Ready To Move,740.0,Dombivli Thane,53.0,19.2180493,73.0861355
Unnamed Property,New Panvel Navi Mumbai Mumbai,30 Lac,5555,Super Built Up Area,1,1,4,1 to 5 Year,Ready To Move,540.0,Panvel Navi-Mumbai,30.0,18.9949462,73.1146581
Lodha Eternis ,Andheri East Mumbai,2.65 Crore,31030,Carpet Area,2,2,5,1 to 5 Year,Ready To Move,854.0,Andheri Mumbai,265.0,19.1158835,72.854202
Gitanjali Tatva ,Borivali East Mumbai,2.75 Crore,20370,Super Built Up Area,3,2,14,0 to 1 Year,Ready To Move,1350.0,Borivali Mumbai,275.0,19.2267228,72.8619328
Asmitha Jyothi CHS ,Malad West Mumbai,78 Lac,12560,Super Built Up Area,1,2,6,10+ Year,Ready To Move,621.0,Malad Mumbai,78.0,19.1840129,72.8412155
Unnamed Property,Naupada Thane Mumbai,1 Crore,15384,Built Up Area,1,1,9,10+ Year,Ready To Move,650.0,Naupada Thane,100.0,19.2000627,72.9666732
Unnamed Property,Thane West Thane Mumbai,1.25 Crore,19230,Carpet Area,2,2,2,10+ Year,Ready To Move,650.0,Thane Thane,125.0,19.03160615,73.01425130283573
Aishwarya Avant Heritage 1 and 2 ,1205 JVLR Mumbai,1.2 Crore,30769,Carpet Area,1,2,12,0 to 1 Year,Ready To Move,390.0,Jvlr Mumbai,120.0,19.1396508,72.8669543
Unnamed Property,Panvel Navi Mumbai Mumbai,49 Lac,6486,Plot Area,2,2,2,10+ Year,Ready To Move,740.0,Panvel Navi-Mumbai,49.0,19.0392786,73.0992311
Gundecha Asta ,Sakinaka Mumbai,1.08 Crore,26932,Carpet Area,1,1,11,1 to 5 Year,Ready To Move,401.0,Sakinaka Mumbai,108.0,19.1008628,72.8798081
Kabra Galaxy Star CHS ,Brahmand Thane Mumbai,1.1 Crore,10280,Super Built Up Area,2,2,6,5 to 10 Year,Ready To Move,1070.0,Brahmand Thane,110.0,19.2469649,72.9818412
Unnamed Property,Kandivali East Mumbai,89 Lac,15752,Built Up Area,1,1,5,5 to 10 Year,Ready To Move,565.0,Kandivali Mumbai,89.0,19.2103809,72.8640837
Landmark Jawahar Milan CHS ,Malad East Mumbai,1.93 Crore,24275,Carpet Area,3,3,3,0 to 1 Year,Ready To Move,793.0,Malad Mumbai,193.0,19.1860219,72.8563181
Unnamed Property,New Panvel New Panvel Navi Mumbai Mumbai,68 Lac,8484,Super Built Up Area,1,1,2,10+ Year,Ready To Move,825.0,Panvel Navi-Mumbai,68.0,18.9949462,73.1146581
Unnamed Property,Khar West Khar West Mumbai South West Mumbai,1.25 Crore,19230,Built Up Area,1,1,4,10+ Year,Ready To Move,650.0,Khar Mumbai,125.0,19.0750197,72.8356392
Unnamed Property,Shivaji Nagar Shivaji Nagar Thane Mumbai,18 Lac,9230,Carpet Area,1,1,2,10+ Year,Ready To Move,195.0,Nagar Thane,18.0,19.1862985,72.9970491
Unnamed Property,Andheri East Mumbai,3.25 Crore,29545,Carpet Area,3,3,5,10+ Year,Ready To Move,1100.0,Andheri Mumbai,325.0,19.1158835,72.854202
Lodha Lakeshore Greens ,Dombivli East Thane Mumbai,70 Lac,10401,Carpet Area,2,2,8,1 to 5 Year,Ready To Move,673.0,Dombivli Thane,70.0,19.2111814,73.091129
SRP Krish Residency ,Panvel Navi Mumbai Mumbai,33 Lac,7674,Carpet Area,1,1,3,5 to 10 Year,Ready To Move,430.0,Panvel Navi-Mumbai,33.0,19.0392786,73.0992311
Kanakia Rainforest ,Marol Mumbai,1.7 Crore,391705,Carpet Area,1,2,2,1 to 5 Year,Ready To Move,43.4,Marol Mumbai,170.0,19.11314845,72.87588069562872
Lodha Palava City ,F 6 Dombivli East Thane Mumbai,23 Lac,7540,Carpet Area,1,1,0,0 to 1 Year,Ready To Move,305.0,Dombivli Thane,23.0,19.2111814,73.091129
Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,84 Lac,14358,Super Built Up Area,1,1,2,10+ Year,Ready To Move,585.0,Nerul Navi-Mumbai,84.0,19.0316759,73.0216566
Lodha Palava City ,Dombivli East Thane Mumbai,60 Lac,8298,Carpet Area,2,2,6,5 to 10 Year,Ready To Move,723.0,Dombivli Thane,60.0,19.2111814,73.091129
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,99 Lac,8215,Built Up Area,3,3,4,10+ Year,Ready To Move,1205.0,Dombivli Thane,99.0,19.2180493,73.0861355
Samartha Aangan ,Lokhandwala Andheri West Mumbai,5.1 Crore,32903,Super Built Up Area,3,3,18,10+ Year,Ready To Move,1550.0,Lokhandwala Andheri,510.0,19.1312947,72.8246301
Unnamed Property,Borivali East Mumbai,2.99 Crore,23000,Super Built Up Area,3,3,1,10+ Year,Ready To Move,1300.0,Borivali Mumbai,299.0,19.2267228,72.8619328
Unnamed Property,Malad East Mumbai,80 Lac,18348,Carpet Area,1,2,7,10+ Year,Ready To Move,436.0,Malad Mumbai,80.0,19.1860219,72.8563181
Gopala Apartment ,101 Vashi Navi Mumbai Mumbai,1.6 Crore,10322,Carpet Area,2,2,0,10+ Year,Ready To Move,1550.0,Vashi Navi-Mumbai,160.0,19.075784,72.9952364
Godrej Sky Garden ,Panvel Navi Mumbai Mumbai,75 Lac,13157,Carpet Area,2,2,6,10+ Year,Ready To Move,570.0,Panvel Navi-Mumbai,75.0,19.0392786,73.0992311
Unnamed Property,Thane West Thane Mumbai,1.95 Crore,15427,Built Up Area,3,3,1,10+ Year,Ready To Move,1264.0,Thane Thane,195.0,19.03160615,73.01425130283573
Unnamed Property,Lokhandwala Andheri West Mumbai,2.27 Crore,27906,Super Built Up Area,2,2,5,10+ Year,Ready To Move,860.0,Lokhandwala Andheri,227.0,19.1312947,72.8246301
Unnamed Property,O 13 Sector 9 Belapur Navi Mumbai Mumbai,1.75 Crore,8750,Plot Area,3,2,2,10+ Year,Ready To Move,2000.0,Belapur Navi-Mumbai,175.0,19.03080375,73.03606195845472
Squarefeet Grand Square ,4th Floor Anand Nagar Thane Mumbai,58 Lac,14180,Carpet Area,1,2,4,10+ Year,Ready To Move,409.0,Nagar Thane,58.0,19.187628,73.0226162
Greenwood Estate Phase 2 ,A1 101 Phase 1 Panvel Navi Mumbai Mumbai,42 Lac,6461,Carpet Area,2,2,1,5 to 10 Year,Ready To Move,650.0,Panvel Navi-Mumbai,42.0,19.0252037,73.0643429
Unnamed Property,Dombivli East Thane Mumbai,42 Lac,9354,Carpet Area,1,1,5,5 to 10 Year,Ready To Move,449.0,Dombivli Thane,42.0,19.2111814,73.091129
Unnamed Property,Dombivli East Thane Mumbai,70 Lac,8443,Carpet Area,2,2,1,1 to 5 Year,Ready To Move,829.0,Dombivli Thane,70.0,19.2111814,73.091129
Unnamed Property,IC Colony Mumbai,2.2 Crore,32592,Carpet Area,3,2,1,1 to 5 Year,Ready To Move,675.0,Ic Colony,220.0,19.2474742,72.8480292
Kalpataru Vienta ,Kandivali East Mumbai,5.9 Crore,39864,Carpet Area,5,4,8,Dec-23,Under Construction,1480.0,Kandivali Mumbai,590.0,19.2103809,72.8640837
AO Realty Bianca ,502 Andheri East Mumbai,2.5 Crore,34530,Built Up Area,2,2,5,1 to 5 Year,Ready To Move,1194.0,Andheri Mumbai,250.0,19.1158835,72.854202
Balaji Symphony ,New Panvel Navi Mumbai Mumbai,52 Lac,117514,Carpet Area,1,1,7,1 to 5 Year,Ready To Move,44.25,Panvel Navi-Mumbai,52.0,18.9949462,73.1146581
Unnamed Property,403404 Versova Mumbai,6.25 Crore,35714,Built Up Area,3,3,4,10+ Year,Ready To Move,1750.0,Versova Mumbai,625.0,19.1293511,72.8221216
Unnamed Property,Pokhran 2 Thane Mumbai,3.75 Crore,28195,Carpet Area,3,3,16,0 to 1 Year,Ready To Move,1330.0,Pokhran Thane,375.0,19.2209997,72.96302046750381
Unnamed Property,Sector 2 Airoli Navi Mumbai Mumbai,1.65 Crore,13750,Plot Area,3,2,3,10+ Year,Ready To Move,1200.0,Airoli Navi-Mumbai,165.0,19.1608677,72.9953728
Unnamed Property,Dahisar East Mumbai,1 Crore,21645,Super Built Up Area,1,1,7,5 to 10 Year,Ready To Move,462.0,Dahisar Mumbai,100.0,19.2486925,72.8640593
Siddha Seabrook ,Kandivali West Mumbai,1.97 Crore,27903,Carpet Area,2,2,27,Under Construction,Under Construction,706.0,Kandivali Mumbai,197.0,19.2084002,72.8422235
Unnamed Property,Hiranandani Estate Thane Mumbai,3.1 Crore,22463,Carpet Area,3,3,6,10+ Year,Ready To Move,1380.0,Hiranandani-Estate Thane,310.0,19.2570093,72.98392629891234
Unnamed Property,3rd Cross Lane Lokhandwala Andheri West Mumbai,10 Crore,35000,Super Built Up Area,4,4,16,1 to 5 Year,Ready To Move,3500.0,Lokhandwala Andheri,1000.0,19.1284264,72.8204922
Balaji Garden CHS ,Sector 11 Koparkhairane Navi Mumbai Mumbai,2.8 Crore,12727,Carpet Area,4,4,13,10+ Year,Ready To Move,2200.0,Koparkhairane Navi-Mumbai,280.0,19.1058398,72.999981
Unnamed Property,Kandivali West Mumbai,1.8 Crore,30716,Carpet Area,2,3,12,Aug-24,Under Construction,586.0,Kandivali Mumbai,180.0,19.2084002,72.8422235
Lodha Palava City ,Dombivli East Thane Mumbai,58 Lac,8801,Carpet Area,2,2,16,5 to 10 Year,Ready To Move,659.0,Dombivli Thane,58.0,19.2111814,73.091129
Hiranandani Hill Grange ,Hiranandani Estate Thane Mumbai,2.1 Crore,15555,Built Up Area,3,3,3,10+ Year,Ready To Move,1350.0,Hiranandani-Estate Thane,210.0,19.2570093,72.98392629891234
Acme Avenue ,11th Floor Charkop Mumbai,1.38 Crore,11604,Built Up Area,2,2,11,0 to 1 Year,Ready To Move,1284.0,Floor Charkop,138.0,19.2082524,72.8276248
Royal Oasis ,Jankalyan Nagar Mumbai,1.7 Crore,23383,Carpet Area,2,2,20,1 to 5 Year,Ready To Move,727.0,Jankalyan Nagar,170.0,19.1068579,72.8671624
Omkar Alta Monte ,Malad East Mumbai,8.5 Crore,20238,Carpet Area,5,5,7,0 to 1 Year,Ready To Move,4200.0,Malad Mumbai,850.0,19.1860219,72.8563181
Unnamed Property,Jogeshwari East Mumbai,1.18 Crore,20884,Built Up Area,1,2,6,10+ Year,Ready To Move,565.0,Jogeshwari Mumbai,118.0,19.1284039,72.9209643
Unnamed Property,Dombivli East Thane Mumbai,2.6 Crore,20384,Carpet Area,3,3,12,5 to 10 Year,Ready To Move,1300.0,Dombivli Thane,260.0,19.2111814,73.091129
Unnamed Property,Seawoods Navi Mumbai Mumbai,65 Lac,14444,Carpet Area,1,1,3,10+ Year,Ready To Move,450.0,Seawoods Navi-Mumbai,65.0,19.0221923,73.01873756602905
NG Complex ,Marol Mumbai,1.05 Crore,16406,Super Built Up Area,1,2,4,10+ Year,Ready To Move,640.0,Marol Mumbai,105.0,19.11314845,72.87588069562872
Unnamed Property,Sector 29 Vashi Navi Mumbai Mumbai,2.8 Crore,29473,Carpet Area,3,3,4,10+ Year,Ready To Move,950.0,Vashi Navi-Mumbai,280.0,19.0895371,73.005083
Shivam Paradise ,503 Nerul Navi Mumbai Mumbai,1.35 Crore,15882,Built Up Area,2,2,5,10+ Year,Ready To Move,850.0,Nerul Navi-Mumbai,135.0,19.0499545,73.0220535
Unnamed Property,Tardeo South Mumbai Mumbai,1 Crore,23752,Carpet Area,1,1,4,10+ Year,Ready To Move,421.0,Tardeo Mumbai,100.0,18.9752264,72.8239515
Hiranandani Fortune City ,2404 Panvel Navi Mumbai Mumbai,55 Lac,17105,Carpet Area,1,1,24,0 to 1 Year,Ready To Move,304.0,Panvel Navi-Mumbai,55.0,18.97686135,73.0201311109118
Unnamed Property,Sector 9 Belapur Navi Mumbai Mumbai,2.51 Crore,27223,Plot Area,4,3,2,10+ Year,Ready To Move,922.0,Belapur Navi-Mumbai,251.0,19.03080375,73.03606195845472
Unnamed Property,504a Sector 44A Seawoods Navi Mumbai Mumbai,1.45 Crore,13538,Super Built Up Area,2,2,5,5 to 10 Year,Ready To Move,1071.0,Seawoods Navi-Mumbai,145.0,19.012698999999998,73.01160017161892
Lodha Splendora ,Ghodbunder Road Thane Mumbai,96 Lac,12800,Carpet Area,2,2,4,1 to 5 Year,Ready To Move,750.0,Road Thane,96.0,19.2777851,72.957062
Unnamed Property,Kandivali East Mumbai,1.15 Crore,22286,Carpet Area,2,2,11,1 to 5 Year,Ready To Move,516.0,Kandivali Mumbai,115.0,19.2103809,72.8640837
Unnamed Property,Lokhandwala Andheri West Mumbai,1.75 Crore,26923,Built Up Area,2,1,2,10+ Year,Ready To Move,650.0,Lokhandwala Andheri,175.0,19.1312947,72.8246301
Unnamed Property,Malad East Mumbai,1.9 Crore,17272,Carpet Area,3,3,7,10+ Year,Ready To Move,1100.0,Malad Mumbai,190.0,19.1860219,72.8563181
Dattani Tower ,Borivali West Mumbai,2.7 Crore,23057,Built Up Area,3,3,9,10+ Year,Ready To Move,1171.0,Borivali Mumbai,270.0,19.2294561,72.8479905
Lodha Palava Downtown ,Dombivli East Thane Mumbai,75 Lac,8731,Super Built Up Area,3,2,11,1 to 5 Year,Ready To Move,1374.0,Dombivli Thane,75.0,19.2111814,73.091129
Dipti Sweta CHS ,Jogeshwari East Mumbai,1.35 Crore,20769,Super Built Up Area,1,2,4,5 to 10 Year,Ready To Move,650.0,Jogeshwari Mumbai,135.0,19.1284039,72.9209643
K Raheja Nest ,Andheri East Mumbai,1.8 Crore,18274,Built Up Area,2,2,1,10+ Year,Ready To Move,985.0,Andheri Mumbai,180.0,19.1158835,72.854202
Unnamed Property,Andheri West Mumbai,3.7 Crore,33636,Carpet Area,3,3,3,1 to 5 Year,Ready To Move,1100.0,Andheri Mumbai,370.0,19.1172495,72.833968
Unnamed Property,Andheri West Mumbai,1.4 Crore,33333,Carpet Area,1,1,3,0 to 1 Year,Ready To Move,420.0,Andheri Mumbai,140.0,19.1172495,72.833968
Unnamed Property,Dombivli West Thane Mumbai,33.9 Lac,6894,Carpet Area,1,2,4,10+ Year,Ready To Move,480.0,Dombivli Thane,33.9,19.2221822,73.0809274
Westin Ravi Kiran CHS ,101 Azad Nagar Mumbai,2.65 Crore,22083,Built Up Area,3,3,1,1 to 5 Year,Ready To Move,1200.0,Azad Nagar,265.0,19.1657976,72.955893
Unnamed Property,Kalwa Thane Mumbai,80 Lac,11267,Carpet Area,3,2,1,10+ Year,Ready To Move,710.0,Kalwa Thane,80.0,19.1960909,72.9876602
Unnamed Property,Dahisar West Mumbai,1.4 Crore,17283,Built Up Area,2,2,1,10+ Year,Ready To Move,810.0,Dahisar Mumbai,140.0,19.0648226,72.8373616
Unnamed Property,Andheri West Mumbai,1.56 Crore,28696,Built Up Area,2,2,5,1 to 5 Year,Ready To Move,575.0,Andheri Mumbai,156.0,19.1172495,72.833968
Unnamed Property,Sector 14 Koparkhairane Navi Mumbai Mumbai,1.71 Crore,21375,Carpet Area,2,2,4,10+ Year,Ready To Move,800.0,Koparkhairane Navi-Mumbai,171.0,19.1058398,72.999981
