Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability
Toll Free 1800 41 99099,"A303, Virar Bolinj Saidarshan, Virar West, Mira Road And Beyond, Mumbai",26.5 Lac,"4,240",Built Up area: 625 (58.06 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),1.0,1.0,3rd  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Dahisar West, Mumbai Andheri-Dahisar, Mumbai",1.4 Crore,"17,283",Built Up area: 810 (75.25 sq.m.),2.0,2.0,1st  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Andheri West, Mumbai Andheri-Dahisar, Mumbai",1.56 Crore,"28,696",Built Up area: 575 (53.42 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),2.0,2.0,5th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Sector 14 Koparkhairane, Navi Mumbai, Mumbai",1.71 Crore,"21,375",Carpet area: 800 (74.32 sq.m.),2.0,2.0,4th  ,10+ Year Old, Ready to move Property
Radhey Heritage ,"Ground Floor, Panvel, Navi Mumbai, Mumbai",45 Lac,"4,864",Super Built up area 925(85.94 sq.m.),2.0,2.0,Ground,1 to 5 Year Old, Ready to move
Sourabh CHS ,"B-5, Sector 1 Kalamboli, Navi Mumbai, Mumbai",45 Lac,"9,473",Carpet area: 475 (44.13 sq.m.),1.0,1.0,Ground,10+ Year Old, Ready to move
Siddhivinayak Eden ,"A 103, Palaspa, Navi Mumbai, Mumbai",36 Lac,"5,179",Super Built up area 695(64.57 sq.m.)Carpet area: 465 sq.ft. (43.2 sq.m.),1.0,2.0,1st  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099,"Near Maxus Mall, Bhayander West, Mira Road And Beyond, Mumbai",1.21 Crore,"21,043",Carpet area: 575 (53.42 sq.m.),2.0,2.0,2nd  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"Room No 303, Taloja, Navi Mumbai, Mumbai",32 Lac,"8,815",Carpet area: 363 (33.72 sq.m.),1.0,1.0,3rd  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Sion East, Central Mumbai suburbs, Mumbai",1.5 Crore,"21,428",Built Up area: 700 (65.03 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2.0,2.0,1st  ,5 to 10 Year Old, Ready to move
Sunny Orchid Bliss ,"1204, Sector 5 Ulwe, Navi Mumbai, Mumbai",1.05 Crore,"9,523",Super Built up area 1085(100.8 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2.0,2.0,12nd  ,0 to 1 Year Old, Ready to move
Om Shivam Arjun ,"111, Sector 18 Kamothe, Navi Mumbai, Mumbai",91 Lac,"8,425",Super Built up area 1080(100.34 sq.m.)Built Up area: 864 sq.ft. (80.27 sq.m.)Carpet area: 691 sq.ft. (64.2 sq.m.),2.0,2.0,4th  ,1 to 5 Year Old, Ready to move
Sai Karuna CHS ," Sector 29 Vashi, Navi Mumbai, Mumbai",1.1 Crore,"17,322",Super Built up area 635(58.99 sq.m.),1.0,1.0,6th  ,10+ Year Old, Ready to move Property
Toll Free 1800 41 99099," Malad East, Mumbai Andheri-Dahisar, Mumbai",1.7 Crore,"25,000",Carpet area: 680 (63.17 sq.m.),2.0,2.0,15th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Shirgaon, Mumbai Beyond Thane, Mumbai",26.5 Lac,"3,955",Built Up area: 670 (62.25 sq.m.)Carpet area: 469 sq.ft. (43.57 sq.m.),1.0,1.0,6th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Panvel, Navi Mumbai, Mumbai",73 Lac,"14,600",Carpet area: 500 (46.45 sq.m.),2.0,1.0,26th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"101, Prabhadevi, South Mumbai, Mumbai",3.68 Crore,"46,000",Carpet area: 800 (74.32 sq.m.),2.0,2.0,1st  ,10+ Year Old, Ready to move
Dnyaneshawari Apartments ," Sector 16 Ghansoli, Navi Mumbai, Mumbai",72 Lac,"11,707",Super Built up area 615(57.14 sq.m.)Built Up area: 439 sq.ft. (40.78 sq.m.)Carpet area: 319 sq.ft. (29.64 sq.m.),1.0,1.0,8th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Kandivali West, Mumbai Andheri-Dahisar, Mumbai",3.15 Crore,"30,761",Carpet area: 1024 (95.13 sq.m.),3.0,3.0,4th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Bhagat Colony, Mumbai Andheri-Dahisar, Mumbai",1.7 Crore,"25,449",Carpet area: 668 (62.06 sq.m.),2.0,2.0,5th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"802, Kharghar, Navi Mumbai, Mumbai",96 Lac,"13,333",Super Built up area 1080(100.34 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),2.0,2.0,8th  ,1 to 5 Year Old, Ready to move
Vishwa Hans ,"701, Sector 35D Kharghar, Navi Mumbai, Mumbai",1.1 Crore,"14,666",Super Built up area 1250(116.13 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2.0,2.0,7th  ,1 to 5 Year Old, Ready to move
Meena Residency ,"402, Sector 36 Kharghar, Navi Mumbai, Mumbai",1.3 Crore,"12,380",Super Built up area 1750(162.58 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3.0,3.0,4th  ,1 to 5 Year Old, Ready to move
Siddharth Geetanjali Sujay ,"601, Sector 34C Kharghar, Navi Mumbai, Mumbai",1.7 Crore,"10,526",Super Built up area 1615(150.04 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3.0,3.0,6th  ,1 to 5 Year Old, Ready to move
Shakti Sky Avenue ," Sector 34 Kamothe, Navi Mumbai, Mumbai",96 Lac,"8,135",Super Built up area 1180(109.63 sq.m.),2.0,2.0,7th  ,1 to 5 Year Old, Ready to move Property
Delta Tower ," Ulwe, Navi Mumbai, Mumbai",1.1 Crore,"8,560",Super Built up area 1285(119.38 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),2.0,2.0,3rd  ,0 to 1 Year Old, Ready to move Property
LK Prince Tower ," Kamothe, Navi Mumbai, Mumbai",84 Lac,"7,636",Built Up area: 1100 (102.19 sq.m.),2.0,2.0,9th  ,0 to 1 Year Old, Ready to move Property
Suyog Jeevan Anand ," Bhandup West, Central Mumbai suburbs, Mumbai",77 Lac,"21,388",Carpet area: 360 (33.45 sq.m.),1.0,1.0,1st  ,1 to 5 Year Old, Ready to move
Sai Chhaya Sadan CHS ," Ambika Nagar, Mumbai Beyond Thane, Mumbai",42 Lac,"8,155",Built Up area: 515 (47.85 sq.m.),1.0,1.0,2nd  ,10+ Year Old, Ready to move
Shanti Green Palms ," Sector 15 Ghansoli, Navi Mumbai, Mumbai",1.65 Crore,"14,347",Super Built up area 1150(106.84 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2.0,2.0,7th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099,"401, Naupada, Thane, Mumbai",95 Lac,"19,000",Super Built up area 730(67.82 sq.m.)Built Up area: 620 sq.ft. (57.6 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),1.0,1.0,4th  ,1 to 5 Year Old, Ready to move Property
Toll Free 1800 41 99099,"Worli Hill Road, Opp Jari Mari Mata Mandir, Worli Hill, South Mumbai, Mumbai",2.75 Crore,"40,740",Super Built up area 675(62.71 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2.0,2.0,3rd  ,10+ Year Old, Ready to move
Shree Ostwal Point ," Mira Bhayandar, Mira Road And Beyond, Mumbai",33.5 Lac,"18,108",Carpet area: 185 (17.19 sq.m.),1.0,1.0,3rd  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099," Jogeshwari West, Mumbai Andheri-Dahisar, Mumbai",1.18 Crore,"24,655",Carpet area: 580 (53.88 sq.m.),2.0,1.0,1st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"Xxx, Sector 19 Ulwe, Navi Mumbai, Mumbai",1.3 Crore,"10,000",Super Built up area 1300(120.77 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,2.0,2nd  ,1 to 5 Year Old, Ready to move Property
Toll Free 1800 41 99099," Andheri West, Mumbai Andheri-Dahisar, Mumbai",2.99 Crore,"38,580",Carpet area: 775 (72 sq.m.),2.0,2.0,4th  ,10+ Year Old, Ready to move
Sheffield Towers ," Lokhandwala Andheri West, Mumbai Andheri-Dahisar, Mumbai",3.1 Crore,"29,523",Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.),2.0,2.0,6th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Sector 20 Kharghar, Navi Mumbai, Mumbai",97 Lac,"10,777",Super Built up area 900(83.61 sq.m.),2.0,2.0,1st  ,10+ Year Old, Ready to move
Ashok Nagar ," Balkum, Thane, Mumbai",1.01 Crore,"10,224",Built Up area: 890 (82.68 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),1.0,2.0,1st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Thane West, Thane, Mumbai",2.5 Crore,"16,666",Carpet area: 1500 (139.35 sq.m.),3.0,3.0,3rd  ,10+ Year Old, Ready to move
DSK Madhuban ,"A2/107, Sakinaka, Mumbai Andheri-Dahisar, Mumbai",1.6 Crore,"14,962",Super Built up area 1203(111.76 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2.0,2.0,1st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Shastri Nagar, Mumbai Andheri-Dahisar, Mumbai",2.45 Crore,"30,625",Built Up area: 800 (74.32 sq.m.),2.0,2.0,4th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Santacruz East, Mumbai South West, Mumbai",1.5 Crore,"32,608",Carpet area: 460 (42.74 sq.m.),1.0,2.0,8th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Vindhane, Navi Mumbai, Mumbai",5 Lac,459,Plot area 1089(101.17 sq.m.)l x b : 31 ft.(9.66 mt.) x 30 ft.(9.35 mt.),,,,Immediate, Ready to move
Toll Free 1800 41 99099," Sion Koliwada, Central Mumbai suburbs, Mumbai",69.69 Lac,"19,911",Carpet area: 350 (32.52 sq.m.),1.0,1.0,21st  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099," Thakur Village, Mumbai Andheri-Dahisar, Mumbai",1.45 Crore,"18,471",Super Built up area 785(72.93 sq.m.)Carpet area: 525 sq.ft. (48.77 sq.m.),2.0,2.0,2nd  ,10+ Year Old, Ready to move
Shree Niketan ," Shankar Pada, Mumbai Andheri-Dahisar, Mumbai",1.42 Crore,"22,049",Carpet area: 644 (59.83 sq.m.),2.0,2.0,6th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Kalyan (wast), Mumbai Beyond Thane, Mumbai",3.9 Crore,"6,425",Plot area 6070,1.0,1.0,,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Thane West, Thane, Mumbai",1.35 Crore,"19,508",Carpet area: 692 (64.29 sq.m.),3.0,2.0,4th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Vichumbe, Navi Mumbai, Mumbai",72 Lac,"5,538",Built Up area: 1300 (120.77 sq.m.),3.0,3.0,1st  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"111, Sector 10 Kamothe, Navi Mumbai, Mumbai",80 Lac,"7,207",Super Built up area 1110(103.12 sq.m.)Built Up area: 944 sq.ft. (87.7 sq.m.)Carpet area: 755 sq.ft. (70.14 sq.m.),2.0,2.0,12nd  ,5 to 10 Year Old, Ready to move
Neelkanth Vishwa ," Vichumbe, Navi Mumbai, Mumbai",43 Lac,"6,417",Super Built up area 670(62.25 sq.m.)Carpet area: 429 sq.ft. (39.86 sq.m.),1.0,1.0,1st  ,5 to 10 Year Old, Ready to move
Balaji Symphony ,"G Wing, New Panvel, Navi Mumbai, Mumbai",1.02 Crore,"9,668",Super Built up area 1055(98.01 sq.m.)Carpet area: 686 sq.ft. (63.73 sq.m.),2.0,2.0,17th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099,"Plot No. 87, Sector 21 Ulwe, Navi Mumbai, Mumbai",62.5 Lac,"9,259",Super Built up area 675(62.71 sq.m.),1.0,1.0,3rd  ,1 to 5 Year Old, Ready to move
Trishul Terraces ,"1802, Sector 20 Koparkhairane, Navi Mumbai, Mumbai",3.5 Crore,"35,000",Carpet area: 1000 (92.9 sq.m.),3.0,3.0,18th  ,10+ Year Old, Ready to move
Lalani Grandeur ,"1801, Goregaon East, Mumbai Andheri-Dahisar, Mumbai",1.24 Crore,"30,243",Carpet area: 410 (38.09 sq.m.),1.0,2.0,18th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," GuruTeg Bahadur Nagar, Central Mumbai suburbs, Mumbai",1.25 Crore,"20,833",Built Up area: 600 (55.74 sq.m.),2.0,2.0,6th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Sector 19 Kharghar, Navi Mumbai, Mumbai",53 Lac,"7,066",Built Up area: 750 (69.68 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),1.0,2.0,1st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Sector 30 Kharghar, Navi Mumbai, Mumbai",68 Lac,"6,800",Built Up area: 1000 (92.9 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,2.0,3rd  ,5 to 10 Year Old, Ready to move
Balaji Mayuresh Delta ," Ulwe, Navi Mumbai, Mumbai",1.4 Crore,"10,370",Super Built up area 1350(125.42 sq.m.)Built Up area: 1240 sq.ft. (115.2 sq.m.)Carpet area: 780 sq.ft. (72.46 sq.m.),2.0,2.0,8th  ,1 to 5 Year Old, Ready to move
Bhagwati Greens ,"1501, Sector 23 Kharghar, Navi Mumbai, Mumbai",3.5 Crore,"16,279",Super Built up area 2150(199.74 sq.m.)Built Up area: 2050 sq.ft. (190.45 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3.0,3.0,15th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Kashigaon, Mira Road And Beyond, Mumbai",54 Lac,"12,857",Built Up area: 580 (53.88 sq.m.)Carpet area: 420 sq.ft. (39.02 sq.m.),1.0,2.0,5th  ,10+ Year Old, Ready to move
Hiranandani Eagleridge ,"6001, Hiranandani Estate, Thane, Mumbai",2.15 Crore,"22,631",Carpet area: 950 (88.26 sq.m.),3.0,3.0,6th  ,1 to 5 Year Old, Ready to move
Sudama Regency ," Khardipada, Thane, Mumbai",31 Lac,"7,380",Carpet area: 420 (39.02 sq.m.),1.0,1.0,5th  ,1 to 5 Year Old, Ready to move
Balaji Symphony ," New Panvel, Navi Mumbai, Mumbai",80 Lac,"7,619",Built Up area: 1050 (97.55 sq.m.),2.0,2.0,28th  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099," Airoli, Navi Mumbai, Mumbai",1.1 Crore,"10,280",Built Up area: 1070 (99.41 sq.m.),2.0,2.0,7th  ,1 to 5 Year Old, Ready to move
Westin Eksar Gurukripa CHSL ," Borivali West, Mumbai Andheri-Dahisar, Mumbai",2 Crore,"32,733",Carpet area: 611 (56.76 sq.m.),2.0,2.0,12nd  ,0 to 1 Year Old, Ready to move Property
Anurag Residency ,"111, Sector 9 Kamothe, Navi Mumbai, Mumbai",70 Lac,"7,368",Super Built up area 950(88.26 sq.m.)Built Up area: 760 sq.ft. (70.61 sq.m.)Carpet area: 640 sq.ft. (59.46 sq.m.),2.0,2.0,5th  ,5 to 10 Year Old, Ready to move
Prabhu Anant ," Roadpali, Navi Mumbai, Mumbai",40.5 Lac,"9,902",Carpet area: 409 (38 sq.m.),1.0,1.0,4th  ,0 to 1 Year Old, Ready to move
Pragati Satkar Tower ,"302, Katemanivali, Mumbai Beyond Thane, Mumbai",40.5 Lac,"5,704",Built Up area: 710 (65.96 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1.0,2.0,3rd  ,5 to 10 Year Old, Ready to move
Kohinoor City Mumbai ,"Phase 1, kurla west, Central Mumbai suburbs, Mumbai",3.1 Crore,"23,117",Built Up area: 1341 (124.58 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,3.0,1st  ,10+ Year Old, Ready to move
Neelkanth Vishwa ," Vichumbe, Navi Mumbai, Mumbai",58 Lac,"6,598",Super Built up area 879(81.66 sq.m.),2.0,2.0,1st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Kamothe, Navi Mumbai, Mumbai",59.5 Lac,"5,409",Super Built up area 1100(102.19 sq.m.),2.0,2.0,7th  ,10+ Year Old, Ready to move
Shah Alpine ," Sector 6 Kharghar, Navi Mumbai, Mumbai",66 Lac,"9,777",Super Built up area 675(62.71 sq.m.),1.0,1.0,11st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"Ground Floor, Dahisar East, Mumbai Andheri-Dahisar, Mumbai",78 Lac,"17,333",Carpet area: 450 (41.81 sq.m.),1.0,1.0,Ground,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Rabale, Navi Mumbai, Mumbai",1.2 Crore,"25,000",Carpet area: 480 (44.59 sq.m.),2.0,2.0,3rd  ,5 to 10 Year Old, Ready to move
5P Bhagwati Heritage ," Sector 21 Kamothe, Navi Mumbai, Mumbai",1.16 Crore,"9,469",Super Built up area 1225(113.81 sq.m.),2.0,2.0,3rd  ,1 to 5 Year Old, Ready to move Property
Jai Gurudeo Complex ," Sector 17 Kamothe, Navi Mumbai, Mumbai",1.06 Crore,"9,217",Built Up area: 1150 (106.84 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),2.0,2.0,5th  ,1 to 5 Year Old, Ready to move Property
Toll Free 1800 41 99099," Sector 58 Seawoods, Navi Mumbai, Mumbai",2.45 Crore,"22,072",Super Built up area 1110(103.12 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2.0,3.0,6th  ,10+ Year Old, Ready to move
Hiranandani Castle Rock ," Hiranandani Gardens Powai, Central Mumbai suburbs, Mumbai",3.24 Crore,"41,645",Carpet area: 778 (72.28 sq.m.),2.0,2.0,3rd  ,0 to 1 Year Old, Ready to move
Om Shanti ,"302, Sector 10 Kharghar, Navi Mumbai, Mumbai",56 Lac,"8,818",Super Built up area 635(58.99 sq.m.)Built Up area: 630 sq.ft. (58.53 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.),1.0,1.0,3rd  ,5 to 10 Year Old, Ready to move Property
Toll Free 1800 41 99099,"Survey No. 264 / 266 /283, Shahpur, Mumbai Beyond Thane, Mumbai",,"91,42,857",Plot area 7(28328.02 sq.m.),,,,Immediate, Ready to move
Toll Free 1800 41 99099,"Poonam Garden,mira Road, Unique Aurum, Mira Road, Mira Road And Beyond, Mumbai",1.12 Crore,"10,642",Built Up area: 1090 (101.26 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2.0,2.0,19th  ,0 to 1 Year Old, Ready to move
Balaji Symphony ," New Panvel, Navi Mumbai, Mumbai",90 Lac,"8,530",Super Built up area 1055(98.01 sq.m.),2.0,2.0,21st  ,1 to 5 Year Old, Ready to move
Tata Amantra ," Kalyan West, Mumbai Beyond Thane, Mumbai",75 Lac,"8,794",Carpet area: 852.77 (79.22 sq.m.),3.0,2.0,23rd  ,5 to 10 Year Old, Ready to move
Varsha Balaji Darshan ," Sector 16 Ulwe, Navi Mumbai, Mumbai",1.05 Crore,"8,750",Super Built up area 1200(111.48 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),2.0,2.0,3rd  ,0 to 1 Year Old, Ready to move Property
Toll Free 1800 41 99099," Kharghar, Navi Mumbai, Mumbai",1.65 Crore,"17,368",Carpet area: 950 (88.26 sq.m.),3.0,3.0,10th  ,1 to 5 Year Old, Ready to move
Hiranandani Fortune City ," Panvel, Navi Mumbai, Mumbai",54 Lac,"13,500",Carpet area: 400 (37.16 sq.m.),1.0,1.0,17th  ,0 to 1 Year Old, Ready to move
Vaishnavi Highlife ," Kalyan East, Mumbai Beyond Thane, Mumbai",76 Lac,"10,857",Carpet area: 700 (65.03 sq.m.),2.0,2.0,22nd  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099,"M G Complex, Sector 14 Vashi, Navi Mumbai, Mumbai",3.11 Crore,"21,449",Super Built up area 1450(134.71 sq.m.),3.0,3.0,11st  ,10+ Year Old, Ready to move Property
Ashar Edge ," Pokhran 2, Thane, Mumbai",1.65 Crore,"22,696",Carpet area: 727 (67.54 sq.m.),2.0,2.0,27th  ,0 to 1 Year Old, Ready to move Property
Toll Free 1800 41 99099," Dombivli East, Mumbai Beyond Thane, Mumbai",63.5 Lac,"7,957",Carpet area: 798 (74.14 sq.m.),3.0,2.0,8th  ,1 to 5 Year Old, Ready to move
