Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh
Unnamed Property,201 Panvel Navi Mumbai Mumbai,28 Lac,5000,Carpet Area,1,2,2,5 to 10 Year,Ready To Move,560,Panvel Navi-Mumbai,28.0
Varsha Balaji Heritage ,Sector 11 Kharghar Navi Mumbai Mumbai,2.6 Crore,15294,Super Built Up Area,3,3,13,5 to 10 Year,Ready To Move,1700,Kharghar Navi-Mumbai,260.0
Bhanushanti Complex ,Malad East Malad East Mumbai,1 Crore,13889,Carpet Area,1,2,3,5 to 10 Year,Ready To Move,720,Malad Malad,100.0
Sagar Mahal ,Walkeshwar Road Malabar Hill Walkeshwar South Mumbai Mumbai,8.13 Crore,65000,Built Up Area,2,3,0,10+ Year,Ready To Move,1250,Walkeshwar Mumbai,813.0
Unnamed Property,Malad West Mumbai,2.5 Crore,16666,Built Up Area,3,3,15,10+ Year,Ready To Move,1500,Malad Mumbai,250.0
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,1.05 Crore,8076,Super Built Up Area,3,3,16,0 to 1 Year,Ready To Move,1690,Panvel Navi-Mumbai,105.0
Unnamed Property,Near D Mart Sector 5 New Panvel East Navi Mumbai Mumbai,53 Lac,10096,Built Up Area,1,1,3,10+ Year,Ready To Move,525,Panvel Navi-Mumbai,53.0
Unnamed Property,202 Plot No 157 Sector 12 Vashi Navi Mumbai Mumbai,1.3 Crore,11981,Super Built Up Area,3,2,2,10+ Year,Ready To Move,1085,Vashi Navi-Mumbai,130.0
Samarth Garden ,Bhandup West Central Mumbai suburbs Mumbai,1.8 Crore,22443,Super Built Up Area,2,2,20,1 to 5 Year,Ready To Move,802,Central Mumbai,180.0
Swan Lake Apartment ,1 101 Khar West Mumbai South West Mumbai,18 Crore,66298,Carpet Area,4,4,0,10+ Year,Ready To Move,2715,Khar Mumbai,1800.0
Unnamed Property,Sindhi Society Chembur Mumbai Harbour Mumbai,1.3 Crore,22335,Super Built Up Area,1,2,2,10+ Year,Ready To Move,591,Mumbai Harbour,130.0
Parinee Essence ,Kandivali West Mumbai,1.4 Crore,25134,Carpet Area,2,2,7,0 to 1 Year,Ready To Move,557,Kandivali Mumbai,140.0
Lalani Grandeur ,Goregaon East Mumbai,3.8 Crore,24820,Built Up Area,3,3,15,1 to 5 Year,Ready To Move,1531,Goregaon Mumbai,380.0
Unnamed Property,A 74 Santacruz East Mumbai South West Mumbai,2.3 Crore,23469,Super Built Up Area,2,2,7,0 to 1 Year,Ready To Move,980,Santacruz Mumbai,230.0
Unnamed Property,Jogeshwari West Mumbai,1.8 Crore,28125,Carpet Area,2,2,8,5 to 10 Year,Ready To Move,640,Jogeshwari Mumbai,180.0
Spring Hills ,901 Hiranandani Estate Thane Mumbai,2.56 Crore,18091,Super Built Up Area,3,3,9,10+ Year,Ready To Move,1415,Hiranandani-Estate Thane,256.0
Unnamed Property,4 14 Andheri East Mumbai,1.15 Crore,18852,Built Up Area,1,1,1,10+ Year,Ready To Move,610,Andheri Mumbai,115.0
Unnamed Property,Charni Road South Mumbai Mumbai,3 Crore,31578,Carpet Area,3,1,4,10+ Year,Ready To Move,950,Road Mumbai,300.0
Unnamed Property,Building No 67 Pant Nagar Central Mumbai suburbs Mumbai,1.9 Crore,30303,Carpet Area,2,2,12,0 to 1 Year,Ready To Move,627,Central Mumbai,190.0
Unnamed Property,Thane West Thane Mumbai,1.2 Crore,14118,Built Up Area,2,2,3,10+ Year,Ready To Move,850,Thane Thane,120.0
Shyam Niwas Apartment ,Chembur Mumbai Harbour Mumbai,2.75 Crore,22339,Super Built Up Area,3,3,5,10+ Year,Ready To Move,1231,Mumbai Harbour,275.0
Gami Vivaan ,Koparkhairane Navi Mumbai Mumbai,2.95 Crore,411436,Carpet Area,3,3,11,1 to 5 Year,Ready To Move,71.7,Koparkhairane Navi-Mumbai,295.0
Unnamed Property,Borivali West Mumbai,3.5 Crore,28000,Carpet Area,3,3,3,10+ Year,Ready To Move,1250,Borivali Mumbai,350.0
Unnamed Property,Flat No 201 Near Karnik Road Kalyan West Mumbai Beyond Thane Mumbai,75 Lac,8610,Built Up Area,2,2,2,5 to 10 Year,Ready To Move,871,Mumbai Thane,75.0
Unnamed Property,Nalasopara West Mira Road And Beyond Mumbai,35 Lac,5882,Carpet Area,2,1,3,5 to 10 Year,Ready To Move,595,Mira Road,35.0
Bharat Shiv Sai Paradise ,Majiwada Thane Mumbai,1.15 Crore,17692,Super Built Up Area,2,2,1,5 to 10 Year,Ready To Move,951,Majiwada Thane,115.0
Unnamed Property,Dadar west Mumbai South West Mumbai,4.75 Crore,40254,Built Up Area,3,2,4,10+ Year,Ready To Move,1180,Dadar Mumbai,475.0
Unnamed Property,Gajanan Colony Road Jawahar Nagar Goregaon West Mumbai,2.15 Crore,24712,Carpet Area,3,3,2,1 to 5 Year,Ready To Move,870,Nagar Goregaon,215.0
Unnamed Property,Dahisar East Mumbai,3 Crore,15000,Built Up Area,3,3,3,5 to 10 Year,Ready To Move,2000,Dahisar Mumbai,300.0
Unnamed Property,Katrap Badlapur East Mumbai Beyond Thane Mumbai,41.5 Lac,4391,Carpet Area,2,2,4,1 to 5 Year,Ready To Move,945,Mumbai Thane,41.5
Fortune Springs ,1003 Kharghar Navi Mumbai Mumbai,68 Lac,15454,Built Up Area,1,1,10,1 to 5 Year,Ready To Move,670,Kharghar Navi-Mumbai,68.0
Lodha Casa Ultima ,A 404 Chirak Nagar Thane Mumbai,78 Lac,13132,Super Built Up Area,1,2,4,10+ Year,Ready To Move,594,Nagar Thane,78.0
Unnamed Property,2d 203 Near Lokhandwala Circle New Mhada Verosva Versova Mumbai,1.8 Crore,25899,Carpet Area,2,2,2,10+ Year,Ready To Move,695,Verosva Versova,180.0
Unnamed Property,Borivali West Borivali West Mumbai,2.56 Crore,32989,Carpet Area,2,1,3,10+ Year,Ready To Move,776,Borivali Borivali,256.0
Royal Palms Estate ,Goregaon East Mumbai,1 Crore,9259,Built Up Area,2,2,-1,10+ Year,Ready To Move,1080,Goregaon Mumbai,100.0
Unnamed Property,Andheri West Mumbai,2 Crore,33898,Carpet Area,2,2,10,1 to 5 Year,Ready To Move,590,Andheri Mumbai,200.0
Oberoi Woods ,Goregaon East Mumbai,3.4 Crore,27200,Super Built Up Area,3,2,2,10+ Year,Ready To Move,1250,Goregaon Mumbai,340.0
Parinee Adney ,Borivali West Mumbai,1.65 Crore,25862,Built Up Area,2,2,1,0 to 1 Year,Ready To Move,1060,Borivali Mumbai,165.0
Unnamed Property,Divyam Heights Near Azad Nagar Metro Station Andheri West Mumbai,1.55 Crore,12053,Super Built Up Area,2,2,8,1 to 5 Year,Ready To Move,1120,Station Andheri,155.0
Lodha Palava City ,Dombivli East Thane Mumbai,53 Lac,11349,Built Up Area,1,2,6,0 to 1 Year,Ready To Move,467,Dombivli Thane,53.0
Serenity Complex ,Oshiwara Mumbai,3.5 Crore,22950,Carpet Area,3,3,14,10+ Year,Ready To Move,1525,Oshiwara Mumbai,350.0
Om Classic ,Chembur East Mumbai Harbour Mumbai,1.43 Crore,15889,Super Built Up Area,2,2,4,5 to 10 Year,Ready To Move,900,Mumbai Harbour,143.0
Unnamed Property,A 2 8 Kopri Thane Mumbai,1.2 Crore,13057,Super Built Up Area,1,1,2,10+ Year,Ready To Move,919,Kopri Thane,120.0
Unnamed Property,Prabhadevi South Mumbai Mumbai,3.75 Crore,53571,Carpet Area,2,2,7,10+ Year,Ready To Move,725,Prabhadevi Mumbai,375.0
Shreeji Splendor ,Brahmand Thane Mumbai,66 Lac,12222,Built Up Area,1,1,0,5 to 10 Year,Ready To Move,540,Brahmand Thane,66.0
Unnamed Property,B 403 gulmohar Chs opp To Shivai School near Nahur Railway Station East Nahur East Central Mumbai suburbs Mumbai,1 Crore,15748,Carpet Area,2,1,4,10+ Year,Ready To Move,635,Central Mumbai,100.0
Arihant Anmol ,Badlapur East Mumbai Beyond Thane Mumbai,25 Lac,3937,Super Built Up Area,1,1,1,1 to 5 Year,Ready To Move,635,Mumbai Thane,25.0
Unnamed Property,Dahisar East Mumbai,72 Lac,20571,Carpet Area,1,1,1,10+ Year,Ready To Move,350,Dahisar Mumbai,72.0
Unnamed Property,Sector 19 Airoli Navi Mumbai Mumbai,56 Lac,16470,Carpet Area,1,1,3,10+ Year,Ready To Move,340,Airoli Navi-Mumbai,56.0
Unnamed Property,Gorai 2 Mumbai,1.8 Crore,16000,Super Built Up Area,2,2,2,10+ Year,Ready To Move,1125,Gorai Mumbai,180.0
Sumit Woods Sharda Sahaniwas ,B 603 Borivali East Mumbai,1.55 Crore,15121,Super Built Up Area,2,2,6,1 to 5 Year,Ready To Move,1025,B Borivali,155.0
K Raheja Paradise Apartment ,Raheja Vihar Central Mumbai suburbs Mumbai,3.7 Crore,24104,Super Built Up Area,3,3,11,10+ Year,Ready To Move,1535,Central Mumbai,370.0
Unnamed Property,Indralok Phase 2 Mira Road And Beyond Mumbai,62.5 Lac,12207,Built Up Area,1,2,3,10+ Year,Ready To Move,512,Mira Road,62.5
Unnamed Property,Kandivali West Mumbai,5.25 Crore,21000,Super Built Up Area,5,5,12,10+ Year,Ready To Move,2500,Kandivali Mumbai,525.0
Unnamed Property,Plot No 14 Sector 21 Ghansoli Navi Mumbai Maharashtra 400701 Ghansoli Navi Mumbai Mumbai,1.3 Crore,12500,Built Up Area,2,2,1,1 to 5 Year,Ready To Move,1040,Ghansoli Navi-Mumbai,130.0
Unnamed Property,Dhokali Thane Mumbai,75 Lac,10273,Built Up Area,2,2,2,10+ Year,Ready To Move,730,Dhokali Thane,75.0
Unnamed Property,Opposite Archarya Collage Near Freeway Chembur Mumbai 400071 Chembur Mumbai Harbour Mumbai,1.25 Crore,25000,Built Up Area,1,2,17,0 to 1 Year,Ready To Move,575,Mumbai Harbour,125.0
Unnamed Property,B 407 Raghunath Nagar Thane Mumbai,70 Lac,12878,Carpet Area,1,1,3,10+ Year,Ready To Move,660,Nagar Thane,70.0
Unnamed Property,Kalbadevi Kalbadevi South Mumbai Mumbai,1.9 Crore,47500,Carpet Area,1,1,9,1 to 5 Year,Ready To Move,400,Kalbadevi Mumbai,190.0
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,32 Lac,7272,Carpet Area,1,1,3,10+ Year,Ready To Move,440,Dombivli Thane,32.0
Unnamed Property,C 706 Dombivli East Thane Mumbai,69 Lac,6448,Built Up Area,2,2,7,1 to 5 Year,Ready To Move,1070,Dombivli Thane,69.0
Ashok Vihar ,C 001 Marol Mumbai,1.4 Crore,26168,Built Up Area,2,2,0,10+ Year,Ready To Move,835,C- Marol,140.0
Unnamed Property,2303 Solitaire A Wing Near Everest World Kolshet Road 400607 Kolshet Road Thane Mumbai,73 Lac,11230,Super Built Up Area,1,2,23,1 to 5 Year,Ready To Move,650,Road Thane,73.0
Vision Phoenix Heights ,Kalamboli Roadpali Navi Mumbai Mumbai,62 Lac,7654,Super Built Up Area,1,1,10,5 to 10 Year,Ready To Move,810,Roadpali Navi-Mumbai,62.0
Unnamed Property,Kalina Mumbai South West Mumbai,11 Crore,28780,Built Up Area,6,4,2,10+ Year,Ready To Move,3822,Kalina Mumbai,1100.0
Lodha Enchante ,Wadala East Mumbai Harbour Mumbai,1.55 Crore,33477,Carpet Area,1,1,15,1 to 5 Year,Ready To Move,463,Mumbai Harbour,155.0
Vardhaman Vatika Vasind ,Vasind Mumbai Beyond Thane Mumbai,32 Lac,3747,Built Up Area,2,2,1,1 to 5 Year,Ready To Move,854,Mumbai Thane,32.0
Unnamed Property,Ramdev Park Ramdev Park Mira Road And Beyond Mumbai,5.6 Crore,18666,Plot Area,6,7,4,10+ Year,Ready To Move,3000,Mira Road,560.0
Arihant Anshula ,Taloja Navi Mumbai Mumbai,50 Lac,4621,Carpet Area,2,2,4,1 to 5 Year,Ready To Move,1082,Taloja Navi-Mumbai,50.0
Unnamed Property,Kopargaon Mumbai Beyond Thane Mumbai,42 Lac,10023,Carpet Area,1,1,1,1 to 5 Year,Ready To Move,419,Mumbai Thane,42.0
Chandak Sparkling Wings ,Dahisar East Mumbai,83 Lac,21783,Carpet Area,1,2,18,5 to 10 Year,Ready To Move,404,Dahisar Mumbai,83.0
Emgee Greens ,Wadala Mumbai Harbour Mumbai,1.8 Crore,16744,Built Up Area,2,2,3,10+ Year,Ready To Move,1075,Mumbai Harbour,180.0
Romell Shraddha ,401 And 402 IC Colony Mumbai,5 Crore,27716,Carpet Area,6,3,4,1 to 5 Year,Ready To Move,1804,Ic Colony,500.0
Unnamed Property,Saki Vihar Road Chandivali Central Mumbai suburbs Mumbai,3.5 Crore,25547,Built Up Area,3,3,1,10+ Year,Ready To Move,1370,Central Mumbai,350.0
Unnamed Property,New Panvel Navi Mumbai Mumbai,5.2 Crore,247619,Plot Area,5,4,4,0 to 1 Year,Ready To Move,210,Panvel Navi-Mumbai,520.0
Lodha Luxuria ,Ffb 2301 Majiwada Thane Mumbai,1.69 Crore,21019,Carpet Area,2,2,23,5 to 10 Year,Ready To Move,804,Majiwada Thane,169.0
Ekta Parksville ,Lincoln Park D 201 Virar West Mira Road And Beyond Mumbai,48 Lac,7196,Carpet Area,2,2,2,Within 3 months,Under Construction,667,Mira Road,48.0
Lifescapes Mirage ,Matunga West South Mumbai Mumbai,3.5 Crore,45103,Super Built Up Area,2,2,5,5 to 10 Year,Ready To Move,1265,Matunga Mumbai,350.0
Unnamed Property,Goregaon West Mumbai,1.95 Crore,19763,Built Up Area,2,2,1,10+ Year,Ready To Move,1012,Goregaon Mumbai,195.0
Unnamed Property,A Wing 101 Bhayander West Mira Road And Beyond Mumbai,1.6 Crore,16355,Carpet Area,3,2,1,10+ Year,Ready To Move,1070,Mira Road,160.0
Krishna Vatika CHS ,Dahisar East Mumbai,1.45 Crore,16111,Super Built Up Area,2,2,7,10+ Year,Ready To Move,900,Dahisar Mumbai,145.0
Vastu Aarav Heights ,Dombivli West Dombivli West Thane Mumbai,29.5 Lac,7973,Carpet Area,1,1,7,1 to 5 Year,Ready To Move,370,Dombivli Thane,29.5
Unnamed Property,Thane West Thane Mumbai,80 Lac,18390,Carpet Area,1,1,5,10+ Year,Ready To Move,435,Thane Thane,80.0
Unnamed Property,Dombivli East Thane Mumbai,75 Lac,12820,Carpet Area,2,2,7,0 to 1 Year,Ready To Move,585,Dombivli Thane,75.0
Unnamed Property,Virar Mira Road And Beyond Mumbai,46 Lac,6013,Built Up Area,1,2,11,0 to 1 Year,Ready To Move,765,Mira Road,46.0
Acme Ozone ,Manpada Thane Mumbai,1.7 Crore,17189,Carpet Area,3,3,20,1 to 5 Year,Ready To Move,989,Manpada Thane,170.0
Tata Amantra ,H 043 Avhani Tower Kalyan West Mumbai Beyond Thane Mumbai,65 Lac,6391,Super Built Up Area,2,1,4,1 to 5 Year,Ready To Move,1017,Mumbai Thane,65.0
RNA NG Regency ,Thane Bhiwandi Road Next To Dosti West County Balkum Thane Mumbai,52 Lac,7872,Super Built Up Area,1,1,3,5 to 10 Year,Ready To Move,672,Balkum Thane,52.0
Unnamed Property,102 Sector 8 Airoli Navi Mumbai Mumbai,1 Crore,10526,Carpet Area,2,2,1,5 to 10 Year,Ready To Move,950,Airoli Navi-Mumbai,100.0
Goodbuild Shepherd Residency ,1601 A Wing Mitha Nagar Mumbai,1.6 Crore,18713,Super Built Up Area,2,2,16,10+ Year,Ready To Move,855,Mitha Nagar,160.0
Unnamed Property,Hiranandani Estate Thane Mumbai,3.1 Crore,22142,Carpet Area,3,3,11,10+ Year,Ready To Move,1400,Hiranandani-Estate Thane,310.0
Unnamed Property,Sindhu Wadi Central Mumbai suburbs Mumbai,5.85 Crore,28235,Built Up Area,4,4,3,5 to 10 Year,Ready To Move,2125,Central Mumbai,585.0
Serenity Heights ,Marol Mumbai,3.3 Crore,29649,Carpet Area,3,3,2,0 to 1 Year,Ready To Move,1113,Marol Mumbai,330.0
Riddhi Siddhi CHS ,504 Bhandup West Central Mumbai suburbs Mumbai,1.05 Crore,17213,Built Up Area,1,2,5,10+ Year,Ready To Move,610,Central Mumbai,105.0
Lodha Amara ,Kolshet Road Thane Mumbai,89 Lac,15978,Carpet Area,2,2,21,1 to 5 Year,Ready To Move,557,Road Thane,89.0
Vakratunda Palace ,B 1104 vakratunda Palace tank Road bhandup West Valmiki Nagar Central Mumbai suburbs Mumbai,1.65 Crore,24337,Carpet Area,2,2,11,5 to 10 Year,Ready To Move,678,Central Mumbai,165.0
Unnamed Property,Santacruz West Mumbai South West Mumbai,5.75 Crore,59895,Carpet Area,3,3,9,5 to 10 Year,Ready To Move,960,Santacruz Mumbai,575.0
Ganraj Beauty Landmark ,Bhandup West Bhandup West Central Mumbai suburbs Mumbai,80 Lac,21799,Carpet Area,1,1,19,1 to 5 Year,Ready To Move,367,Central Mumbai,80.0
Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,85 Lac,7937,Built Up Area,2,1,17,1 to 5 Year,Ready To Move,1071,Mumbai Thane,85.0
Unnamed Property,In Front Of D Mart Ghodbunder Road Thane Mumbai,75 Lac,17857,Carpet Area,1,2,4,1 to 5 Year,Ready To Move,420,Road Thane,75.0
Rohan Lifescapes Amrut Wadi ,183 Girgaum South Mumbai Mumbai,1.83 Crore,44561,Carpet Area,1,1,18,0 to 1 Year,Ready To Move,410,Girgaum Mumbai,183.0
Unnamed Property,Prabhadevi South Mumbai Mumbai,3.3 Crore,47142,Carpet Area,2,2,9,10+ Year,Ready To Move,700,Prabhadevi Mumbai,330.0
Unnamed Property,Dadar West South Mumbai Mumbai,4.4 Crore,31428,Carpet Area,4,3,3,5 to 10 Year,Ready To Move,1400,Dadar Mumbai,440.0
Unnamed Property,Bhakti Mandir Thane Mumbai,1.5 Crore,19815,Carpet Area,2,2,3,10+ Year,Ready To Move,757,Mandir Thane,150.0
MICL Aaradhya Highpark ,Mira Road Mira Road And Beyond Mumbai,1.38 Crore,21904,Carpet Area,2,2,1,Within 3 months,Under Construction,630,Mira Road,138.0
Unnamed Property,C401 Muthaval Mumbai Beyond Thane Mumbai,39 Lac,6414,Super Built Up Area,1,1,4,1 to 5 Year,Ready To Move,643,Mumbai Thane,39.0
Sark Park View ,Kharghar Navi Mumbai Mumbai,49 Lac,8909,Carpet Area,1,2,5,5 to 10 Year,Ready To Move,550,Kharghar Navi-Mumbai,49.0
Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,65 Lac,6190,Super Built Up Area,2,2,4,5 to 10 Year,Ready To Move,1050,Kharghar Navi-Mumbai,65.0
Unnamed Property,Bhandup East Central Mumbai suburbs Mumbai,79.5 Lac,15806,Super Built Up Area,1,1,0,10+ Year,Ready To Move,503,Central Mumbai,79.5
Balaji Symphony ,New Panvel New Panvel Navi Mumbai Mumbai,70 Lac,8695,Super Built Up Area,1,1,21,1 to 5 Year,Ready To Move,805,Panvel Navi-Mumbai,70.0
Unnamed Property,Near Vandana Godavari Building Versova Mumbai,2.15 Crore,20834,Built Up Area,2,2,1,10+ Year,Ready To Move,970,Building Versova,215.0
Unnamed Property,Sector 16 Ghansoli Navi Mumbai Mumbai,65 Lac,13000,Super Built Up Area,1,1,4,5 to 10 Year,Ready To Move,500,Ghansoli Navi-Mumbai,65.0
Unnamed Property,302 A3 Shree Datta Nagari Kalher Thane Mumbai,22 Lac,3055,Built Up Area,1,1,3,1 to 5 Year,Ready To Move,720,Kalher Thane,22.0
Unnamed Property,Ulwe Navi Mumbai Mumbai,80 Lac,8000,Built Up Area,2,2,5,5 to 10 Year,Ready To Move,1000,Ulwe Navi-Mumbai,80.0
Wellwisher Town ,Khopoli Mumbai Beyond Thane Mumbai,42 Lac,7000,Built Up Area,2,2,8,0 to 1 Year,Ready To Move,1000,Mumbai Thane,42.0
Unnamed Property,Khanda Colony Navi Mumbai Mumbai,85 Lac,9309,Super Built Up Area,2,2,1,10+ Year,Ready To Move,913,Colony Navi-Mumbai,85.0
Unnamed Property,Bhandup West Central Mumbai suburbs Mumbai,1.27 Crore,20819,Carpet Area,2,2,12,10+ Year,Ready To Move,610,Central Mumbai,127.0
Unnamed Property,102 Vakola Mumbai South West Mumbai,1.25 Crore,27777,Carpet Area,2,2,1,10+ Year,Ready To Move,450,Vakola Mumbai,125.0
Unnamed Property,Sector 24 Sector 24 Ulwe Navi Mumbai Mumbai,37 Lac,6434,Built Up Area,1,2,1,0 to 1 Year,Ready To Move,575,Ulwe Navi-Mumbai,37.0
Unnamed Property,C15 Bhayander West Mira Road And Beyond Mumbai,34 Lac,9714,Carpet Area,1,1,3,10+ Year,Ready To Move,350,Mira Road,34.0
Unnamed Property,C 5 d 4 Lokmanya Nagar Thane Mumbai,50 Lac,14285,Built Up Area,1,1,0,10+ Year,Ready To Move,350,Nagar Thane,50.0
Unnamed Property,Virar West Mira Road And Beyond Mumbai,28 Lac,4746,Built Up Area,1,1,3,5 to 10 Year,Ready To Move,590,Mira Road,28.0
Triveni Ultima Bliss ,1504 Kalyan West Mumbai Beyond Thane Mumbai,60 Lac,7519,Super Built Up Area,1,2,15,1 to 5 Year,Ready To Move,758,Mumbai Thane,60.0
Unnamed Property,005 Chipale Navi Mumbai Mumbai,54 Lac,6315,Super Built Up Area,2,2,0,5 to 10 Year,Ready To Move,950,Chipale Navi-Mumbai,54.0
Unnamed Property,Old Panvel Navi Mumbai Mumbai,59 Lac,12553,Built Up Area,1,1,3,0 to 1 Year,Ready To Move,750,Panvel Navi-Mumbai,59.0
Sai Sastha Crystal ,1606 Bhandup West Central Mumbai suburbs Mumbai,70 Lac,20771,Carpet Area,1,1,16,1 to 5 Year,Ready To Move,337,Central Mumbai,70.0
CGEWHO Kendriya Vihar ,C 7 11 Sector 11 Kharghar Navi Mumbai Mumbai,1.19 Crore,9916,Carpet Area,3,2,3,10+ Year,Ready To Move,1200,Kharghar Navi-Mumbai,119.0
Mehek CHS ,Sector 12 Kharghar Navi Mumbai Mumbai,90 Lac,16513,Carpet Area,2,2,5,10+ Year,Ready To Move,545,Kharghar Navi-Mumbai,90.0
Marathon Nexzone ,Altis New Panvel Navi Mumbai Mumbai,70 Lac,8083,Built Up Area,2,2,6,1 to 5 Year,Ready To Move,866,Panvel Navi-Mumbai,70.0
Mittal Tower CHS ,Koparkhairane Navi Mumbai Mumbai,1.2 Crore,18547,Carpet Area,2,2,4,10+ Year,Ready To Move,647,Koparkhairane Navi-Mumbai,120.0
