Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability
Royal Palms Estate ," Goregaon East,  Mumbai",1 Crore,"9,259",Built Up area: 1080 (100.34 sq.m.)Carpet area: 873 sq.ft. (81.1 sq.m.),2,2,Basement,10+ Year Old, Ready to move
Unnamed Property," Andheri West,  Mumbai",2 Crore,"33,898",Carpet area: 590 (54.81 sq.m.),2,2,10th  ,1 to 5 Year Old, Ready to move
Oberoi Woods ," Goregaon East,  Mumbai",3.4 Crore,"27,200",Super Built up area 1250(116.13 sq.m.),3,2,2nd  ,10+ Year Old, Ready to move
Parinee Adney ," Borivali West,  Mumbai",1.65 Crore,"25,862",Built Up area: 1060 (98.48 sq.m.)Carpet area: 638 sq.ft. (59.27 sq.m.),2,2,1st  ,0 to 1 Year Old, Ready to move
Unnamed Property,"Divyam Heights, Near Azad Nagar Metro Station, Andheri West,  Mumbai",1.55 Crore,"12,053",Super Built up area 1120(104.05 sq.m.)Carpet area: 620 sq.ft. (57.6 sq.m.),2,2,8th  ,1 to 5 Year Old, Ready to move
Lodha Palava City ," Dombivli East Thane, Mumbai",53 Lac,"11,349",Built Up area: 467 (43.39 sq.m.)Carpet area: 439 sq.ft. (40.78 sq.m.),1,2,6th  ,0 to 1 Year Old, Ready to move
Serenity Complex ," Oshiwara,  Mumbai",3.5 Crore,"22,950",Carpet area: 1525 (141.68 sq.m.),3,3,14th  ,10+ Year Old, Ready to move
Om Classic ," Chembur East, Mumbai Harbour, Mumbai",1.43 Crore,"15,889",Super Built up area 900(83.61 sq.m.)Carpet area: 655 sq.ft. (60.85 sq.m.),2,2,4th  ,5 to 10 Year Old, Ready to move
Unnamed Property,"A/2/8, Kopri, Thane, Mumbai",1.2 Crore,"13,057",Super Built up area 919(85.38 sq.m.)Carpet area: 519 sq.ft. (48.22 sq.m.),1,1,2nd  ,10+ Year Old, Ready to move
Unnamed Property," Prabhadevi, South Mumbai, Mumbai",3.75 Crore,"53,571",Carpet area: 725 (67.35 sq.m.),2,2,7th  ,10+ Year Old, Ready to move
Shreeji Splendor ," Brahmand, Thane, Mumbai",66 Lac,"12,222",Built Up area: 540 (50.17 sq.m.)Carpet area: 400 sq.ft. (37.16 sq.m.),1,1,Ground,5 to 10 Year Old, Ready to move
Unnamed Property,"B-403,gulmohar Chs,opp To Shivai School,near Nahur Railway Station East, Nahur East, Central Mumbai suburbs, Mumbai",1 Crore,"15,748",Carpet area: 635 (58.99 sq.m.),2,1,4th  ,10+ Year Old, Ready to move
Arihant Anmol ," Badlapur East, Mumbai Beyond Thane, Mumbai",25 Lac,"3,937",Super Built up area 635(58.99 sq.m.)Carpet area: 327 sq.ft. (30.38 sq.m.),1,1,1st  ,1 to 5 Year Old, Ready to move
Unnamed Property," Dahisar East,  Mumbai",72 Lac,"20,571",Carpet area: 350 (32.52 sq.m.),1,1,1st  ,10+ Year Old, Ready to move
Unnamed Property," Sector 19 Airoli, Navi-Mumbai, Mumbai",56 Lac,"16,470",Carpet area: 340 (31.59 sq.m.),1,1,3rd  ,10+ Year Old, Ready to move
Unnamed Property," Gorai 2,  Mumbai",1.8 Crore,"16,000",Super Built up area 1125(104.52 sq.m.),2,2,2nd  ,10+ Year Old, Ready to move
Sumit Woods Sharda Sahaniwas ,"B 603, Borivali East,  Mumbai",1.55 Crore,"15,121",Super Built up area 1025(95.23 sq.m.)Carpet area: 651 sq.ft. (60.48 sq.m.),2,2,6th  ,1 to 5 Year Old, Ready to move
K Raheja Paradise Apartment ," Raheja Vihar, Central Mumbai suburbs, Mumbai",3.7 Crore,"24,104",Super Built up area 1535(142.61 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),3,3,11st  ,10+ Year Old, Ready to move
Unnamed Property," Indralok Phase 2, Mira Road And Beyond, Mumbai",62.5 Lac,"12,207",Built Up area: 512 (47.57 sq.m.),1,2,3rd  ,10+ Year Old, Ready to move
Unnamed Property," Kandivali West,  Mumbai",5.25 Crore,"21,000",Super Built up area 2500(232.26 sq.m.)Carpet area: 1575 sq.ft. (146.32 sq.m.),5,5,12nd  ,10+ Year Old, Ready to move
Unnamed Property,"Plot No-14 Sector 21, Ghansoli Navi-Mumbai, Maharashtra 400701, Ghansoli, Navi-Mumbai, Mumbai",1.3 Crore,"12,500",Built Up area: 1040 (96.62 sq.m.),2,2,1st  ,1 to 5 Year Old, Ready to move
Unnamed Property," Dhokali, Thane, Mumbai",75 Lac,"10,273",Built Up area: 730 (67.82 sq.m.)Carpet area: 620 sq.ft. (57.6 sq.m.),2,2,2nd  ,10+ Year Old, Ready to move
Unnamed Property,"Opposite Archarya Collage Near Freeway Chembur Mumbai 400071, Chembur, Mumbai Harbour, Mumbai",1.25 Crore,"25,000",Built Up area: 575 (53.42 sq.m.)Carpet area: 543 sq.ft. (50.45 sq.m.),1,2,17th  ,0 to 1 Year Old, Ready to move
Unnamed Property,"B/407, Raghunath Nagar, Thane, Mumbai",70 Lac,"12,878",Carpet area: 660 (61.32 sq.m.),1,1,3rd  ,10+ Year Old, Ready to move
Unnamed Property,"Kalbadevi, Kalbadevi, South Mumbai, Mumbai",1.9 Crore,"47,500",Carpet area: 400 (37.16 sq.m.),1,1,9th  ,1 to 5 Year Old, Ready to move
Unnamed Property,"Dombivli East, Dombivli East Thane, Mumbai",32 Lac,"7,272",Carpet area: 440 (40.88 sq.m.),1,1,3rd  ,10+ Year Old, Ready to move
Unnamed Property,"C-706, Dombivli East Thane, Mumbai",69 Lac,"6,448",Built Up area: 1070 (99.41 sq.m.)Carpet area: 734 sq.ft. (68.19 sq.m.),2,2,7th  ,1 to 5 Year Old, Ready to move
Ashok Vihar ,"C-001, Marol,  Mumbai",1.4 Crore,"26,168",Built Up area: 835 (77.57 sq.m.)Carpet area: 535 sq.ft. (49.7 sq.m.),2,2,Ground,10+ Year Old, Ready to move
Unnamed Property,"2303 Solitaire A-Wing, Near Everest World Kolshet Road 400607, Kolshet Road, Thane, Mumbai",73 Lac,"11,230",Super Built up area 650(60.39 sq.m.)Carpet area: 455 sq.ft. (42.27 sq.m.),1,2,23rd  ,1 to 5 Year Old, Ready to move
Vision Phoenix Heights ,"Kalamboli, Roadpali, Navi-Mumbai, Mumbai",62 Lac,"7,654",Super Built up area 810(75.25 sq.m.)Carpet area: 515 sq.ft. (47.85 sq.m.),1,1,10th  ,5 to 10 Year Old, Ready to move
Unnamed Property," Kalina, Mumbai South West, Mumbai",11 Crore,"28,780",Built Up area: 3822 (355.08 sq.m.),6,4,2,10+ Year Old, Ready to move
Lodha Enchante ," Wadala East, Mumbai Harbour, Mumbai",1.55 Crore,"33,477",Carpet area: 463 (43.01 sq.m.),1,1,15th  ,1 to 5 Year Old, Ready to move
Vardhaman Vatika Vasind ," Vasind, Mumbai Beyond Thane, Mumbai",32 Lac,"3,747",Built Up area: 854 (79.34 sq.m.),2,2,1st  ,1 to 5 Year Old, Ready to move
Unnamed Property,"Ramdev Park, Ramdev Park, Mira Road And Beyond, Mumbai",5.6 Crore,"18,666",Plot area 3000(278.71 sq.m.),6,7,4,10+ Year Old, Ready to move
Arihant Anshula ," Taloja, Navi-Mumbai, Mumbai",50 Lac,"4,621",Carpet area: 1082 (100.52 sq.m.),2,2,4th  ,1 to 5 Year Old, Ready to move
Unnamed Property," Kopargaon, Mumbai Beyond Thane, Mumbai",42 Lac,"10,023",Carpet area: 419 (38.93 sq.m.),1,1,1st  ,1 to 5 Year Old, Ready to move
Chandak Sparkling Wings ," Dahisar East,  Mumbai",83 Lac,"21,783",Carpet area: 404 (37.53 sq.m.),1,2,18th  ,5 to 10 Year Old, Ready to move
Emgee Greens ," Wadala, Mumbai Harbour, Mumbai",1.8 Crore,"16,744",Built Up area: 1075 (99.87 sq.m.)Carpet area: 734 sq.ft. (68.19 sq.m.),2,2,3rd  ,10+ Year Old, Ready to move
Romell Shraddha ,"401 And 402, IC Colony,  Mumbai",5 Crore,"27,716",Carpet area: 1804 (167.6 sq.m.),6,3,4th  ,1 to 5 Year Old, Ready to move
Unnamed Property,"Saki Vihar Road, Chandivali, Central Mumbai suburbs, Mumbai",3.5 Crore,"25,547",Built Up area: 1370 (127.28 sq.m.)Carpet area: 1060 sq.ft. (98.48 sq.m.),3,3,1st  ,10+ Year Old, Ready to move
Unnamed Property," New Panvel, Navi-Mumbai, Mumbai",5.2 Crore,"2,47,619",Plot area 210Built Up area: 511 sq.m.,5,4,4,0 to 1 Year Old, Ready to move
Lodha Luxuria ,"Ffb 2301, Majiwada, Thane, Mumbai",1.69 Crore,"21,019",Carpet area: 804 (74.69 sq.m.),2,2,23rd  ,5 to 10 Year Old, Ready to move
Ekta Parksville ,"Lincoln Park D 201, Virar West, Mira Road And Beyond, Mumbai",48 Lac,"7,196",Carpet area: 667 (61.97 sq.m.),2,2,2nd  ,Within 3 months, Under Construction
Lifescapes Mirage ," Matunga West, South Mumbai, Mumbai",3.5 Crore,"45,103",Super Built up area 1265(117.52 sq.m.)Carpet area: 776 sq.ft. (72.09 sq.m.),2,2,5th  ,5 to 10 Year Old, Ready to move
Unnamed Property," Goregaon West,  Mumbai",1.95 Crore,"19,763",Built Up area: 1012 (94.02 sq.m.)Carpet area: 735 sq.ft. (68.28 sq.m.),2,2,1st  ,10+ Year Old, Ready to move
Unnamed Property,"A Wing 101, Bhayander West, Mira Road And Beyond, Mumbai",1.6 Crore,"16,355",Carpet area: 1070 (99.41 sq.m.),3,2,1st  ,10+ Year Old, Ready to move
Krishna Vatika CHS ," Dahisar East,  Mumbai",1.45 Crore,"16,111",Super Built up area 900(83.61 sq.m.)Built Up area: 722 sq.ft. (67.08 sq.m.)Carpet area: 670 sq.ft. (62.25 sq.m.),2,2,7th  ,10+ Year Old, Ready to move
Vastu Aarav Heights ,"Dombivli West, Dombivli West Thane, Mumbai",29.5 Lac,"7,973",Carpet area: 370 (34.37 sq.m.),1,1,7th  ,1 to 5 Year Old, Ready to move
Unnamed Property," Thane West, Thane, Mumbai",80 Lac,"18,390",Carpet area: 435 (40.41 sq.m.),1,1,5th  ,10+ Year Old, Ready to move
Unnamed Property," Dombivli East Thane, Mumbai",75 Lac,"12,820",Carpet area: 585 (54.35 sq.m.),2,2,7th  ,0 to 1 Year Old, Ready to move
Unnamed Property," Virar, Mira Road And Beyond, Mumbai",46 Lac,"6,013",Built Up area: 765 (71.07 sq.m.),1,2,11st  ,0 to 1 Year Old, Ready to move
Acme Ozone ," Manpada, Thane, Mumbai",1.7 Crore,"17,189",Carpet area: 989 (91.88 sq.m.),3,3,20th  ,1 to 5 Year Old, Ready to move
Tata Amantra ,"H-043, Avhani Tower, Kalyan West, Mumbai Beyond Thane, Mumbai",65 Lac,"6,391",Super Built up area 1017(94.48 sq.m.)Carpet area: 666 sq.ft. (61.87 sq.m.),2,1,4th  ,1 to 5 Year Old, Ready to move
RNA NG Regency ,"Thane Bhiwandi Road, Next To Dosti West County., Balkum, Thane, Mumbai",52 Lac,"7,872",Super Built up area 672(62.43 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1,1,3rd  ,5 to 10 Year Old, Ready to move
Unnamed Property,"102, Sector 8 Airoli, Navi-Mumbai, Mumbai",1 Crore,"10,526",Carpet area: 950 (88.26 sq.m.),2,2,1st  ,5 to 10 Year Old, Ready to move
Goodbuild Shepherd Residency ,"1601-A Wing, Mitha Nagar,  Mumbai",1.6 Crore,"18,713",Super Built up area 855(79.43 sq.m.)Carpet area: 825 sq.ft. (76.65 sq.m.),2,2,16th  ,10+ Year Old, Ready to move
Unnamed Property," Hiranandani-Estate, Thane, Mumbai",3.1 Crore,"22,142",Carpet area: 1400 (130.06 sq.m.),3,3,11st  ,10+ Year Old, Ready to move
Unnamed Property," Sindhu Wadi, Central Mumbai suburbs, Mumbai",5.85 Crore,"28,235",Built Up area: 2125 (197.42 sq.m.)Carpet area: 1331 sq.ft. (123.65 sq.m.),4,4,3rd  ,5 to 10 Year Old, Ready to move
Serenity Heights ," Marol,  Mumbai",3.3 Crore,"29,649",Carpet area: 1113 (103.4 sq.m.),3,3,2nd  ,0 to 1 Year Old, Ready to move
Riddhi Siddhi CHS ,"504, Bhandup West, Central Mumbai suburbs, Mumbai",1.05 Crore,"17,213",Built Up area: 610 (56.67 sq.m.)Carpet area: 444 sq.ft. (41.25 sq.m.),1,2,5th  ,10+ Year Old, Ready to move
Lodha Amara ," Kolshet Road, Thane, Mumbai",89 Lac,"15,978",Carpet area: 557 (51.75 sq.m.),2,2,21st  ,1 to 5 Year Old, Ready to move
Vakratunda Palace ,"B-1104,vakratunda Palace,tank Road,bhandup West, Valmiki Nagar, Central Mumbai suburbs, Mumbai",1.65 Crore,"24,337",Carpet area: 678 (62.99 sq.m.),2,2,11st  ,5 to 10 Year Old, Ready to move
Unnamed Property," Santacruz West, Mumbai South West, Mumbai",5.75 Crore,"59,895",Carpet area: 960 (89.19 sq.m.),3,3,9th  ,5 to 10 Year Old, Ready to move
Ganraj Beauty Landmark ,"Bhandup West, Bhandup West, Central Mumbai suburbs, Mumbai",80 Lac,"21,799",Carpet area: 367 (34.1 sq.m.),1,1,19th  ,1 to 5 Year Old, Ready to move
Tata Amantra ," Kalyan West, Mumbai Beyond Thane, Mumbai",85 Lac,"7,937",Built Up area: 1071 (99.5 sq.m.)Carpet area: 666 sq.ft. (61.87 sq.m.),2,1,17th  ,1 to 5 Year Old, Ready to move
Unnamed Property,"In Front Of D Mart, Ghodbunder Road, Thane, Mumbai",75 Lac,"17,857",Carpet area: 420 (39.02 sq.m.),1,2,4th  ,1 to 5 Year Old, Ready to move
Rohan Lifescapes Amrut Wadi ,"183, Girgaum, South Mumbai, Mumbai",1.83 Crore,"44,561",Carpet area: 410 (38.09 sq.m.),1,1,18th  ,0 to 1 Year Old, Ready to move
Unnamed Property," Prabhadevi, South Mumbai, Mumbai",3.3 Crore,"47,142",Carpet area: 700 (65.03 sq.m.),2,2,9th  ,10+ Year Old, Ready to move
Unnamed Property," Dadar West, South Mumbai, Mumbai",4.4 Crore,"31,428",Carpet area: 1400 (130.06 sq.m.),4,3,3rd  ,5 to 10 Year Old, Ready to move
Unnamed Property," Bhakti Mandir, Thane, Mumbai",1.5 Crore,"19,815",Carpet area: 757 (70.33 sq.m.),2,2,3rd  ,10+ Year Old, Ready to move
MICL Aaradhya Highpark ," Mira Road, Mira Road And Beyond, Mumbai",1.38 Crore,"21,904",Carpet area: 630 (58.53 sq.m.),2,2,1st  ,Within 3 months, Under Construction
