Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
Haware Silicon Tower ,Plot No 46 Sector 30 A Vashi Navi Mumbai 400705 Palm Beach Navi Mumbai Mumbai,Palm Beach Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1985,16580,8,3,3,289
Unnamed Property,Shri Nagar Wagle Estate Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,670,18656,5,2,2,125
Unnamed Property,302 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,960,14062,3,2,2,135
Lodha Splendora ,Ghodbunder Road Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,743,18169,26,2,2,135
Lodha Palava Downtown ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,398,10552,11,1,2,42
Unnamed Property,Sector 16 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1250,18000,2,2,2,225
Unnamed Property,101 Bandra East Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,820,24390,11,2,2,200
Unnamed Property,Ghatkopar East Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1460,32876,5,3,3,480
Gauri Excellency ,2105 2106 Charkop Mumbai,Charkop Mumbai,Under Construction,Under Construction,Carpet Area,2230,19730,21,4,4,440
Unnamed Property,Laxmi Keshav Bhiwandi Mumbai Beyond Thane Mumbai Bhiwandi Mumbai Beyond Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,855,5300,3,1,1,45
Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1066,9193,13,2,2,98
Unnamed Property,Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,276,10869,2,1,1,30
Unnamed Property,Chakala Mumbai,Chakala Mumbai,10+ Year,Ready To Move,Built Up Area,300,18333,5,1,1,55
Unnamed Property,203 Seven Bunglow Mumbai,Seven Bunglow,10+ Year,Ready To Move,Carpet Area,625,40800,2,2,2,255
Unnamed Property,201 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,560,5000,2,1,2,28
Varsha Balaji Heritage ,Sector 11 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1700,15294,13,3,3,260
Bhanushanti Complex ,Malad East Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,720,13889,3,1,2,100
Sagar Mahal ,Walkeshwar Road Malabar Hill Walkeshwar South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,1250,65000,0,2,3,813
Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Built Up Area,1500,16666,15,3,3,250
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1690,8076,16,3,3,105
Unnamed Property,Near D Mart Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,525,10096,3,1,1,53
Unnamed Property,202 Plot No 157 Sector 12 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1085,11981,2,3,2,130
Samarth Garden ,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,802,22443,20,2,2,180
Swan Lake Apartment ,1 101 Khar West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,2715,66298,0,4,4,1800
Unnamed Property,Sindhi Society Chembur Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,591,22335,2,1,2,130
Parinee Essence ,Kandivali West Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,557,25134,7,2,2,140
Lalani Grandeur ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1531,24820,15,3,3,380
Unnamed Property,A 74 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,980,23469,7,2,2,230
Unnamed Property,Jogeshwari West Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Carpet Area,640,28125,8,2,2,180
Spring Hills ,901 Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Super Built Up Area,1415,18091,9,3,3,256
Unnamed Property,4 14 Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Built Up Area,610,18852,1,1,1,115
Unnamed Property,Charni Road South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,950,31578,4,3,1,300
Unnamed Property,Building No 67 Pant Nagar Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,627,30303,12,2,2,190
Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,850,14118,3,2,2,120
Shyam Niwas Apartment ,Chembur Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1231,22339,5,3,3,275
Gami Vivaan ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,71.7,411436,11,3,3,295
Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,1250,28000,3,3,3,350
Unnamed Property,Flat No 201 Near Karnik Road Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Built Up Area,871,8610,2,2,2,75
Unnamed Property,Nalasopara West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,595,5882,3,2,1,35
Bharat Shiv Sai Paradise ,Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,951,17692,1,2,2,115
Unnamed Property,Dadar west Mumbai South West Mumbai,Dadar Mumbai,10+ Year,Ready To Move,Built Up Area,1180,40254,4,3,2,475
Unnamed Property,Gajanan Colony Road Jawahar Nagar Goregaon West Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,870,24712,2,3,3,215
Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Built Up Area,2000,15000,3,3,3,300
Unnamed Property,Katrap Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Carpet Area,945,4391,4,2,2,41.5
Fortune Springs ,1003 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,670,15454,10,1,1,68
Lodha Casa Ultima ,A 404 Chirak Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,594,13132,4,1,2,78
Unnamed Property,2d 203 Near Lokhandwala Circle New Mhada Verosva Versova Mumbai,Verosva Mumbai,10+ Year,Ready To Move,Carpet Area,695,25899,2,2,2,180
Unnamed Property,Borivali West Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,776,32989,3,2,1,256
Royal Palms Estate ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,1080,9259,-1,2,2,100
Unnamed Property,Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Carpet Area,590,33898,10,2,2,200
Oberoi Woods ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Super Built Up Area,1250,27200,2,3,2,340
Parinee Adney ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1060,25862,1,2,2,165
Unnamed Property,Divyam Heights Near Azad Nagar Metro Station Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1120,12053,8,2,2,155
Lodha Palava City ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,467,11349,6,1,2,53
Serenity Complex ,Oshiwara Mumbai,Oshiwara Mumbai,10+ Year,Ready To Move,Carpet Area,1525,22950,14,3,3,350
Om Classic ,Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,900,15889,4,2,2,143
Unnamed Property,A 2 8 Kopri Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,919,13057,2,1,1,120
Unnamed Property,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,725,53571,7,2,2,375
Shreeji Splendor ,Brahmand Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,540,12222,0,1,1,66
Unnamed Property,B 403 gulmohar Chs opp To Shivai School near Nahur Railway Station East Nahur East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,635,15748,4,2,1,100
Arihant Anmol ,Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,635,3937,1,1,1,25
Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,350,20571,1,1,1,72
Unnamed Property,Sector 19 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,340,16470,3,1,1,56
Unnamed Property,Gorai 2 Mumbai,Gorai Mumbai,10+ Year,Ready To Move,Super Built Up Area,1125,16000,2,2,2,180
Sumit Woods Sharda Sahaniwas ,B 603 Borivali East Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1025,15121,6,2,2,155
K Raheja Paradise Apartment ,Raheja Vihar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1535,24104,11,3,3,370
Unnamed Property,Indralok Phase 2 Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,512,12207,3,1,2,62.5
Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Super Built Up Area,2500,21000,12,5,5,525
Unnamed Property,Plot No 14 Sector 21 Ghansoli Navi Mumbai Maharashtra 400701 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1040,12500,1,2,2,130
Unnamed Property,Dhokali Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,730,10273,2,2,2,75
Unnamed Property,Opposite Archarya Collage Near Freeway Chembur Mumbai 400071 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Built Up Area,575,25000,17,1,2,125
Unnamed Property,B 407 Raghunath Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,660,12878,3,1,1,70
Unnamed Property,Kalbadevi Kalbadevi South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,400,47500,9,1,1,190
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Carpet Area,440,7272,3,1,1,32
Unnamed Property,C 706 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1070,6448,7,2,2,69
Ashok Vihar ,C 001 Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Built Up Area,835,26168,0,2,2,140
Unnamed Property,2303 Solitaire A Wing Near Everest World Kolshet Road 400607 Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,650,11230,23,1,2,73
Vision Phoenix Heights ,Kalamboli Roadpali Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,810,7654,10,1,1,62
Unnamed Property,Kalina Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,3822,28780,2,6,4,1100
Lodha Enchante ,Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,463,33477,15,1,1,155
Vardhaman Vatika Vasind ,Vasind Mumbai Beyond Thane Mumbai,Vasind Mumbai,1 to 5 Year,Ready To Move,Built Up Area,854,3747,1,2,2,32
Unnamed Property,Ramdev Park Ramdev Park Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Plot Area,3000,18666,4,6,7,560
Arihant Anshula ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1082,4621,4,2,2,50
Unnamed Property,Kopargaon Mumbai Beyond Thane Mumbai,Kopargaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,419,10023,1,1,1,42
Chandak Sparkling Wings ,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,404,21783,18,1,2,83
Emgee Greens ,Wadala Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,1075,16744,3,2,2,180
Romell Shraddha ,401 And 402 IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1804,27716,4,6,3,500
Unnamed Property,Saki Vihar Road Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1370,25547,1,3,3,350
Unnamed Property,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Plot Area,210,247619,4,5,4,520
Lodha Luxuria ,Ffb 2301 Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Carpet Area,804,21019,23,2,2,169
Ekta Parksville ,Lincoln Park D 201 Virar West Mira Road And Beyond Mumbai,Mira Road,Under Construction,Under Construction,Carpet Area,667,7196,2,2,2,48
Lifescapes Mirage ,Matunga West South Mumbai Mumbai,Matunga Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1265,45103,5,2,2,350
Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,1012,19763,1,2,2,195
Unnamed Property,A Wing 101 Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,1070,16355,1,3,2,160
Krishna Vatika CHS ,Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Super Built Up Area,900,16111,7,2,2,145
Vastu Aarav Heights ,Dombivli West Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,370,7973,7,1,1,29.5
Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,435,18390,5,1,1,80
Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,585,12820,7,2,2,75
Unnamed Property,Virar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,765,6013,11,1,2,46
Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Carpet Area,989,17189,20,3,3,170
Tata Amantra ,H 043 Avhani Tower Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1017,6391,4,2,1,65
RNA NG Regency ,Thane Bhiwandi Road Next To Dosti West County Balkum Thane Mumbai,Balkum Thane,5 to 10 Year,Ready To Move,Super Built Up Area,672,7872,3,1,1,52
Unnamed Property,102 Sector 8 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,950,10526,1,2,2,100
Goodbuild Shepherd Residency ,1601 A Wing Mitha Nagar Mumbai,Mitha Nagar Mumbai,10+ Year,Ready To Move,Super Built Up Area,855,18713,16,2,2,160
Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Carpet Area,1400,22142,11,3,3,310
Unnamed Property,Sindhu Wadi Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,2125,28235,3,4,4,585
Serenity Heights ,Marol Mumbai,Marol Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1113,29649,2,3,3,330
Riddhi Siddhi CHS ,504 Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,610,17213,5,1,2,105
Lodha Amara ,Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,557,15978,21,2,2,89
Vakratunda Palace ,B 1104 vakratunda Palace tank Road bhandup West Valmiki Nagar Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,678,24337,11,2,2,165
Unnamed Property,Santacruz West Mumbai South West Mumbai,Santacruz Mumbai,5 to 10 Year,Ready To Move,Carpet Area,960,59895,9,3,3,575
Ganraj Beauty Landmark ,Bhandup West Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,367,21799,19,1,1,80
Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,1071,7937,17,2,1,85
Unnamed Property,In Front Of D Mart Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,420,17857,4,1,2,75
Rohan Lifescapes Amrut Wadi ,183 Girgaum South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,410,44561,18,1,1,183
Unnamed Property,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,700,47142,9,2,2,330
Unnamed Property,Dadar West South Mumbai Mumbai,Dadar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1400,31428,3,4,3,440
Unnamed Property,Bhakti Mandir Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,757,19815,3,2,2,150
MICL Aaradhya Highpark ,Mira Road Mira Road And Beyond Mumbai,Mira Road,Under Construction,Under Construction,Carpet Area,630,21904,1,2,2,138
Unnamed Property,C401 Muthaval Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,643,6414,4,1,1,39
Sark Park View ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,550,8909,5,1,2,49
Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,6190,4,2,2,65
Unnamed Property,Bhandup East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,503,15806,0,1,1,79.5
Balaji Symphony ,New Panvel New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,805,8695,21,1,1,70
Unnamed Property,Near Vandana Godavari Building Versova Mumbai,Verosva Mumbai,10+ Year,Ready To Move,Built Up Area,970,20834,1,2,2,215
Unnamed Property,Sector 16 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,500,13000,4,1,1,65
Unnamed Property,302 A3 Shree Datta Nagari Kalher Thane Mumbai,Kalher Thane,1 to 5 Year,Ready To Move,Built Up Area,720,3055,3,1,1,22
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000,8000,5,2,2,80
Wellwisher Town ,Khopoli Mumbai Beyond Thane Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1000,7000,8,2,2,42
Unnamed Property,Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,913,9309,1,2,2,85
Unnamed Property,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,610,20819,12,2,2,127
Unnamed Property,102 Vakola Mumbai South West Mumbai,Vakola Mumbai,10+ Year,Ready To Move,Carpet Area,450,27777,1,2,2,125
Unnamed Property,Sector 24 Sector 24 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,575,6434,1,1,2,37
Unnamed Property,C15 Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,350,9714,3,1,1,34
Unnamed Property,C 5 d 4 Lokmanya Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,350,14285,0,1,1,50
Unnamed Property,Virar West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Built Up Area,590,4746,3,1,1,28
Triveni Ultima Bliss ,1504 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,758,7519,15,1,2,60
Unnamed Property,005 Chipale Navi Mumbai Mumbai,Chipale Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,950,6315,0,2,2,54
Unnamed Property,Old Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,750,12553,3,1,1,59
Sai Sastha Crystal ,1606 Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,337,20771,16,1,1,70
CGEWHO Kendriya Vihar ,C 7 11 Sector 11 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1200,9916,3,3,2,119
Mehek CHS ,Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,545,16513,5,2,2,90
Marathon Nexzone ,Altis New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,866,8083,6,2,2,70
Mittal Tower CHS ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,647,18547,4,2,2,120
Lodha Regency ,Y401 Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Built Up Area,835,7878,4,2,2,58
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Built Up Area,740,7162,1,2,2,53
Unnamed Property,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,540,5555,4,1,1,30
Lodha Eternis ,Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Carpet Area,854,31030,5,2,2,265
Gitanjali Tatva ,Borivali East Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1350,20370,14,3,2,275
Kohinoor Majestic ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,Under Construction,Under Construction,Built Up Area,725,6896,15,1,2,50
MM Spectra ,1506 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1496,12032,15,2,2,180
Unnamed Property,Kopar Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Carpet Area,676,15733,4,2,2,118
Pam Vasant ,Virar East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Built Up Area,1055,8056,4,2,2,80
Unnamed Property,Byculla East Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,800,33750,1,2,2,270
Asmitha Jyothi CHS ,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Super Built Up Area,621,12560,6,1,2,78
Unnamed Property,Naupada Thane Mumbai,Naupada Thane,10+ Year,Ready To Move,Built Up Area,650,15384,9,1,1,100
Unnamed Property,Vile Parle East Mumbai South West Mumbai,Vile Parle Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1327,43234,10,3,3,425
Unnamed Property,102 g Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,708,21892,1,2,2,155
Unnamed Property,Parsik Nagar Flat No 103 First Floor Kalwa Mumbai Beyond Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,645,12403,1,1,2,80
Unnamed Property,C 701 Neelam Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,617,36466,7,2,2,225
Unnamed Property,D 604 Mogra Village Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,602,28239,6,2,2,170
Unnamed Property,429 V P Road Flat No 8 9 Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,1150,23913,3,4,3,265
Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,650,19230,2,2,2,125
Unnamed Property,Ho No 8 Sanman Singh Road Bhandup West Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Plot Area,400,8000,2,2,2,32
